"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Deep convolutional neural network (CNN) with transfer learning","Yes","Adaptation","No","Diagnosis","Yes","Not informed","Not informed","Not informed","Not informed","Yes (data augmentation and normalization)","Not informed","Yes","Yes","No","F1-score","0.83 F1-score","No","No","Not informed","The application of deep learning on fast skin cancer diagnosis"
"Multiple Random Walker (MRW) and deep learning approaches","Yes","Not informed","Yes","Segmentation","Yes","Melanoma","Dermoscopy images dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","No","No","Limited training set images","Medical image learning from a few/few training samples: Melanoma segmentation study"
"Modified Inception-v4","Yes","Adaptation","No","Classification","Yes","Not informed","HAM10000 dataset","Not informed","No","Not informed","Not informed","Yes","Data sampling approach to mitigate data imbalance effect","No","Accuracy","94.7% Accuracy","No","No","Not informed","A modified inception-v4 for imbalanced skin cancer classification dataset"
"Convolution Neural Network (CNN)","Yes","Not informed","No","Classification","Yes","Various (BCC, Melanoma, Nevus, SK, SCC)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy","0.9741, 0.9867, 0.9506 and 0.9734 for different classifications","Yes","No","Not informed","Skin lesion classification using convolution neural networks"
"Convolutional neural network (CNN) with transfer learning","Yes","Adaptation","No","Classification","Yes","Melanoma","International Skin Imaging Collaboration 2018 (ISIC) dataset","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Yes","Accuracy","11% increase in accuracy using transfer learning","Yes","No","Not informed","Convolutional neural network based skin lesion analysis for classifying melanoma"
"Single Shot Detector (SSD) and Level Set Segmentation Technique","Yes","New","Yes","Segmentation","Yes","Melanoma","ISBI 2016 challenge dataset (Skin Lesion Analysis Towards Melanoma Detection Challenge Dataset)","Not informed","Not informed","Yes (morphological operations to remove hair)","Not informed","Not informed","Not informed","Yes","Jaccard index (Jc), Dice coefficient (Di), Accuracy (Ac)","0.82 Jc, 0.901 Di, 0.90 Ac","Yes","No","Not informed","Segmenting melanoma Lesion using Single Shot Detector (SSD) and Level Set Segmentation Technique"
"DermoNet: densely linked convolutional neural network","Yes","New","No","Segmentation","Yes","Not informed","ISBI 2016, ISBI 2017, and PH2 datasets","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Outperformed state-of-the-art algorithms on three datasets","Yes","Yes","Not informed","DermoNet: densely linked convolutional neural network for efficient skin lesion segmentation"
"Image Processing Techniques with PNN classifier","Yes","Not informed","Yes","Classification","Yes (GLCM Feature Extraction algorithm)","Melanoma","Not informed","Not informed","Not informed","Yes (median filters for noise removal, HSI color transformation)","Not informed","No","Not informed","No","Not informed","Not informed","No","No","Not informed","Detection of Skin Cancer Lesions from Digital Images with Image Processing Techniques"
"Kernel sparse representation based model","Yes","New","Yes","Segmentation and Classification","Yes","Melanoma","Dermoscopic and digital datasets","Not informed","Not informed","No","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Yes","Yes","Not informed","Kernel sparse representation based model for skin lesions segmentation and classification"
"Improved Single Shot Multibox Detector (SSD) with ResNet18 backbone","No","Adaptation","No","Classification and detection of citrus","Yes","Not applicable","Custom dataset of citrus images","2500","No","Not informed","Not informed","Yes","Not informed","Yes","mAP (mean average precision), mean detection time","87.89% mAP, 20.72 ms mean detection time","No","No","Not informed","Real-time classification and detection of citrus based on improved single short multibox detecter; [基于改进SSD的柑橘实时分类检测]"
"Multi-tree Genetic Programming (GP) for feature construction","Yes","New","Yes","Classification","Yes","Melanoma and other skin cancers","Two skin image datasets (not specified)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not specified","Significantly outperformed other classification methods","Yes","Yes (two datasets)","Not informed","Genetic Programming for Multiple Feature Construction in Skin Cancer Image Classification"
"Dragonfly Optimization based Deep Neural Network","Yes","New","Yes","Classification","Yes (using GLCM)","Not informed","Not informed","Not informed","Not informed","Yes (segmentation using enhanced level set approach)","Not informed","Not informed","Not informed","Yes (SVM, ANN)","Accuracy, sensitivity, specificity","Not informed","No","No","Not informed","An Enhanced Model for Skin Disease Detection using Dragonfly Optimization based Deep Neural Network"
"Fractional Fourier and Hermite transform","Yes","Not informed","Yes","Diagnosis","Yes","Malignant melanoma","Not informed","Not informed","Not informed","Sub-image division","Not informed","Not informed","Not informed","No","Confidence level","99.7% confidence level","No","No","Not informed","Spectral indexes obtained by implementation of the fractional Fourier and Hermite transform for the diagnosis of malignant melanoma"
"Dermatologic Hyperspectral Imaging System","Yes","New","Yes","Diagnosis Assistance","Not informed","Pigmented skin lesions (PSLs)","Preliminary database of 49 HS images","49","Not informed","Not informed","Supervised machine learning method optimized by genetic algorithm","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Dermatologic Hyperspectral Imaging System for Skin Cancer Diagnosis Assistance"
"Bag Tree Ensemble Classifier","Yes","Not informed","Yes","Classification","Yes","Melanoma","PH2 dataset, ISBI2016 dataset, ISIC2017 dataset","Not informed","No (but experimented with undersampled and oversampled datasets)","Yes (hair artifact removal)","Not informed","Not informed","Not informed","No","Sensitivity, Specificity","High sensitivity and specificity on oversampled dataset","No","Yes (PH2, ISBI2016, ISIC2017)","Class imbalance in the dataset","Melanoma Classification on Dermoscopy Skin Images using Bag Tree Ensemble Classifier"
"Ant Colony Optimization (ACO) for edge detection","Yes","Not informed","Yes","Edge detection","No","Not informed","Not informed","Not informed","Not informed","Yes (color space conversion, contrast enhancement, filtering)","Not informed","No","Not informed","Yes (Canny, Sobel, Prewitt)","Entropy analysis","Improved edge contour using ACO","No","No","Not informed","Improved skin lesion edge detection method using Ant Colony Optimization"
"Not informed","Yes","Not informed","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Machine Learning Techniques for Automated Melanoma Detection"
"Attention-guided deep convolutional neural network","Yes","New","Yes","Classification","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","Not informed","Yes","Accuracy","12% improvement in accuracy","No","No","Not informed","Attention-guided deep convolutional neural networks for skin cancer classification"
"Ultrasound frequency analysis","Yes","Not informed","No","Diagnosis","Yes","Skin cancer","CRED dataset (400 patients)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","AUC, sensitivity, specificity","AUC = 0.959, sensitivity = 93.8%, specificity = 97.3%","No","No","Not informed","Early diagnosis of skin cancer by ultrasound frequency analysis"
"Improved Particle Swarm Optimization and Deep Learning","Yes","New","Yes","Classification","Yes","Not informed","Dermoscopic skin lesion data, UCI machine learning repository, ALL-IDB2 image data","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Discriminative feature selection, optimal hyper-parameter identification","Not informed","Yes","Yes","Not informed","Intelligent skin cancer diagnosis using improved particle swarm optimization and deep learning models"
"YOLO deep convolutional neural networks","Yes","Adaptation","No","Detection","Yes","Melanoma","Not informed","200 (training set)","Not informed","Input image size reset","Not informed","Not informed","Not informed","No","Mean average precision (mAP)","0.82 mAP","No","No","Not informed","Automatic detection of melanoma with yolo deep convolutional neural networks"
"Ensemble of canonical and deep classifiers","Yes","Not informed","Yes","Classification","Yes","Actinic keratosis","Clinical image dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (warping)","Yes","Not informed","Not informed","Yes","No","Not informed","Deep learning for actinic keratosis classification"
"Multiple Instance Learning (MIL) algorithm","Yes","New","No","Classification","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Promising results","No","No","Not informed","Dangerousness of dysplastic nevi: A Multiple Instance Learning Solution for Early Diagnosis"
"Two-step skin cancer images classification using transfer learning","Yes","Not informed","No","Classification","Yes","Not informed","HAM10000 dataset","10000","Not informed","Not informed","Not informed","Yes","Not informed","No","Accuracy","85% accuracy in the first step, 75% accuracy in the second step","No","No","Not informed","Transfer learning based method for two-step skin cancer images classification"
"Not informed","Yes","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Can skin cancer diagnosis be transformed by AI?"
"Weakly Supervised Vitiligo Segmentation through Saliency Propagation","Yes","New","Yes","Segmentation","Yes","Not informed (Vitiligo is a skin disorder, not cancer)","Vit2019 dataset","Not informed","Not informed","Not informed","Not informed","Yes (pre-training a classification network)","Not informed","Yes","Not informed","Not informed","Yes","No","Not informed","Weakly Supervised Vitiligo Segmentation in Skin Image through Saliency Propagation"
"Convolutional Neural Network (CNN) with three convolution layers","Yes","New","Yes","Classification","Yes","Not informed","Not informed","Not informed","Not informed","Yes (natural hair removal and image segmentation)","Not informed","Not informed","Not informed","No","Classification accuracy","76.83% classification accuracy","No","No","Not informed","Pigmented skin lesions classification using convolutional neural networks"
"Very Deep Residual Networks","Yes","New","Yes","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Histogram, PSNR ratio","Not informed","No","No","Not informed","Automated Melanoma Recognition in Dermoscopy Images via Very Deep Residual Networks"
"Multi-model fusion of Convolutional Neural Network (CNN) based on Maximum Correntropy Criterion (MCC)","Yes","New","Yes","Classification","Yes","Basal cell carcinoma and seborrheic keratosis","Established basal cell carcinoma and seborrheic keratosis datasets","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Yes","Recognition accuracy","97.07% Accuracy","Yes","No","Not informed","Skin Disease Recognition Method Based on Multi-Model Fusion of Convolutional Neural Network; [多卷积神经网络模型融合的皮肤病识别方法]"
"Learning Vector Quantization","Yes","Not informed","No","Classification","Yes (using Grey-Level Co-Occurrence Matrix - GLCM)","Melanoma","Not informed","Not informed","Not informed","Yes (grey-scaling and median filtering)","Not informed","No","Not informed","No","Accuracy","83.33% Accuracy","No","No","Not informed","Identification of Melanoma through Dermoscopy Image using Learning Vector Quantization"
"Deep Convolutional Neural Networks (CNNs)","No","Adaptation","No","Classification","Yes","Not informed","TiVi camera images","Not informed","Not informed","Not informed","10-fold cross-validation","Yes (using pretrained CNNs: VGG-16, GoogleNet, ResNet-50, and ResNet-101)","Not informed","No","Accuracy, sensitivity, specificity","81.66% average accuracy (ResNet-101), 90.54% average accuracy for burn depth types","No","No","Not informed","Time-Independent Prediction of Burn Depth Using Deep Convolutional Neural Networks"
"Gabor wavelet-based deep convolutional neural network","Yes","New","Yes","Classification","Yes","Malignant melanoma and seborrheic keratosis","Not informed","Not informed","Not informed","Gabor wavelet decomposition","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Yes","No","Not informed","Gabor wavelet-based deep learning for skin lesion classification"
"Multidimensional Convolutional Neural Network","No","New","Yes","Classification","Yes","Not informed","Varicose ulcer wound image dataset","Not informed","Not informed","Yes (flash light removal, active contour segmentation)","Not informed","Not informed","Not informed","No","Average accuracy, specificity, sensitivity","99.55% average accuracy, 98.06% specificity, 95.66% sensitivity","No","No","Not informed","Varicose ulcer(C6) wound image tissue classification using multidimensional convolutional neural networks"
"Integrated classification and image retrieval system","Yes","New","Yes","Classification and Retrieval","Yes","Melanoma and other skin cancers","Dermoscopic image dataset (1300 images, 10 classes)","1300","Not informed","Not informed","Not informed","Yes","Not informed","No","Classification accuracy, Retrieval accuracy","85% classification accuracy and retrieval accuracy","No","No","Not informed","Deep Learning Based Integrated Classification and Image Retrieval System for Early Skin Cancer Detection"
"Deep depthwise separable residual convolutional network","Yes","New","Yes","Classification","Yes","Melanoma","ISIC, PH2, DermIS, MED-NODE datasets","Not informed","Not informed","Yes (noise removal using non-local means filter and enhancement using contrast-limited adaptive histogram equilisation over discrete wavelet transform algorithm)","Not informed","Not informed","Not informed","No","ACC (Accuracy)","99.50% ACC on ISIC, 96.77% ACC on PH2, 94.44% ACC on DermIS, 95.23% ACC on MED-NODE datasets","No","Yes","Not informed","Diagnosis of melanoma from dermoscopic images using a deep depthwise separable residual convolutional network"
"HCET-G2: Hybrid Cross Entropy Thresholding using Gaussian and Gamma Distributions","Yes","New","Yes","Segmentation","Not informed","Melanoma","PH2 and ISIC 2017 datasets","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy","75% accuracy","Yes","Yes","Not informed","HCET-G2: Dermoscopic Skin Lesion Segmentation via Hybrid Cross Entropy Thresholding using Gaussian and Gamma Distributions"
"Convolutional Neural Network (CNN) with MobileNet v1 and Inception V3","Yes","Adaptation","No","Classification","Yes","Various skin cancers","MNIST HAM10000 dataset (10,015 images)","10,015","Not informed","Not informed","Not informed","Yes","Not informed","Yes (MobileNet v1 and Inception V3)","Predictive accuracy","72% accuracy with Inception V3, 58% accuracy with MobileNet v1","No","No","Not informed","Disease Classification based on Dermoscopic Skin Images Using Convolutional Neural Network in Teledermatology System"
"U-Net and VGG16 Net","Yes","Adaptation","Yes","Classification","Yes","Melanoma","ISBI 2016 Skin Lesion Analysis towards Melanoma Detection Challenge dataset","Not informed","Not informed","Yes (segmentation using U-Net)","Not informed","Yes (using VGG16 Net)","Not informed","No","Accuracy, Sensitivity, Specificity","83.18% Accuracy, 95.53% Sensitivity, 96.22% Specificity","No","No","Not informed","Melanoma segmentation and classification using deep learning"
"Artificial Neural Network (ANN) based diagnostic system","Yes","New","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","Yes","Classifier performance (accuracy)","99.8% accuracy with Multilayer Perceptron (MLP) model","No","No","Not informed","Artificial neural network based diagnostic system for melanoma skin cancer; [Melanom cilt kanseri için yapay sinir aǧi tabanli tani sistemi]"
"Not informed","Yes","Not informed","No","Segmentation","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Automated segmentation of pigmented skin lesions images for smartphone applications"
"CNN with GAN-generated synthetic images","Yes","New","Yes","Classification","Yes","Not informed","International Skin Imaging Collaboration (ISIC) dataset","97","No","Not informed","Not informed","Not informed","Yes (using GAN)","Yes","Classification performance","71% classification performance with synthetic images, 53% without","No","No","Not informed","Generating Synthetic Medical Images by Using GAN to Improve CNN Performance in Skin Cancer Classification"
"Bimodal Skin Cancer Image Segmentation using Gamma Distribution","Yes","Not informed","No","Segmentation","Not informed","Skin cancer","Not informed","Not informed","Not informed","Thresholding","Not informed","Not informed","Not informed","Yes","Performance measures (not specified)","Improved results compared to existing techniques","No","No","Not informed","Bimodal Skin Cancer Image Segmentation Based on Different Parameter Shapes of Gamma Distribution"
"Convolutional Neural Networks (CNN)","Yes","Not informed","No","Classification","Yes","Not informed","MNIST:HAM10000 dataset","10000","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Convolutional Neural Networks for classifying skin lesions"
"Not informed","No","Not informed","Yes","Imaging","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Label-Free Non-linear Multimodal Optical Microscopy—Basics, Development, and Applications"
"Not informed","Yes","Not informed","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes (pre-processing, segmentation, edge detection)","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Features for melanoma lesions: Extraction and classification"
"Ensemble of Convolutional Neural Networks","Yes","New","Yes","Classification","Yes","Not informed","Not informed","1,440 (test data)","Not informed","Yes (hair removal, image resizing, and image augmentation)","Not informed","Not informed","Yes","No","Accuracy","91.7% accuracy","No","No","Not informed","Ensembles of Convolutional Neural Networks for Skin Lesion Dermoscopy Images Classification"
"Not informed","Yes","Not informed","No","Survey of diagnosis methods","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Diagnosis methods of skin lesions in dermoscopic images: A survey"
"Modified U-Net architecture (46-layered structure)","Yes","Adaptation","Yes","Segmentation","Yes","Malign melanoma","Not informed","Not informed","Not informed","Yes (image enhancement, linear filtering, image restoration)","Not informed","Not informed","Not informed","Yes (U-Net 32 and U-Net 46 architectures compared)","Dice-coefficient, Jaccard","Not informed","No","No","Not informed","Skin lesion segmentation by using deep learning techniques"
"Deep Learning Convolutional Neural Network","Yes","Not informed","No","Classification","Yes","Melanoma","Dermoscopic images of skin neoplasms (over 120,000 images)","390 (3 sets of 130 melanocytic lesions each)","No","Removal of gentian violet surgical skin markings by manual cropping","Not informed","Not informed","Not informed","Yes (comparison between unmarked, marked and cropped images)","Sensitivity, specificity, area under the curve (AUC) of the receiver operating characteristic (ROC) curve","100% sensitivity, 97.2% specificity, ROC AUC of 0.993 after cropping images to remove skin markings","No","Yes (3 sets of images)","Skin markings can significantly interfere with the CNN's correct diagnosis","Association between Surgical Skin Markings in Dermoscopic Images and Diagnostic Performance of a Deep Learning Convolutional Neural Network for Melanoma Recognition"
"RethNet with REthinker blocks","Yes","New","Yes","Detection","Yes","Not informed","Prepared dataset (not specified)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (Deeplab v3+)","MIoU (Mean Intersection over Union)","79.46% MIoU","Yes","No","Not informed","RethNet: Object-by-object learning for detecting facial skin problems"
"Bio-medical image analysis for melanoma segmentation","Yes","Not informed","No","Segmentation","Yes","Melanoma","European dataset of dermoscopic images","Not informed","Not informed","Yes (gradient magnitude calculation, foreground object marking)","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","No","No","Not informed","Melanoma segmentation using bio-medical image analysis for smarter mobile healthcare"
"Content-based image classification using bit plane features","Yes","New","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Binarization, bit plane extraction","Not informed","No","Not informed","Yes","Specificity, sensitivity","Not informed","Yes","No","Not informed","Melanoma identification with content based image classification using bit plane features"
"U-Net model","Yes","Adaptation","No","Segmentation","Yes","Not informed","Novel abdominal dataset (1,400 images)","1,400","Not informed","Not informed","Cross-validation","Not informed","Not informed","Yes (thresholding, fully connected neural network, Mask-RCNN)","Mean cross-validation accuracy","95.51% accuracy","No","No","Not informed","Adaptation and evaluation of deep learning techniques for skin segmentation on novel abdominal dataset"
"Multiple machine learning classifiers","Yes","Not informed","No","Classification","Yes","Melanoma","Dermoscopic image database","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Accuracy","97% Accuracy","No","No","Not informed","Detection of melanoma with multiple machine learning classifiers in dermoscopy images; [Dermoskopik görüntülerdeki melanomun çoklu makine öǧrenmesi siniflandiricilari ile tespiti]"
"Multilayer Perceptron using Weka","Yes","Not informed","No","Classification","Yes (GLCM)","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Accuracy","98% Accuracy","No","No","Not informed","An automatic classification of dermoscopy image with multilayer perceptron using weka"
"Combined feature extraction using shape, color, and texture analysis","Yes","Not informed","Yes","Classification","Yes","Not informed","Dermoscopic images dataset (1104 images)","1104","Not informed","Not informed","Cross-validation","Not informed","Not informed","No","Accuracy, Sensitivity, Specificity","92.3% Accuracy, 87.5% Sensitivity, 97.1% Specificity","No","No","Not informed","Computational diagnosis of skin lesions from dermoscopic images using combined features"
"Combination of human and artificial intelligence","Yes","Not informed","Yes","Classification","Yes","Melanoma","Dermoscopic images dataset (11,444 images)","11444","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy, sensitivity, specificity","82.95% accuracy (multiclass), 89% sensitivity (binary)","Yes","No","Not informed","Superior skin cancer classification by the combination of human and artificial intelligence"
"Bi-directional ConvLSTM U-net with densely connected convolutions (BCDU-Net)","Yes","New","Yes","Segmentation","Yes","Not informed","Three datasets (retinal blood vessel, skin lesion, lung nodule)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","State-of-the-art performance","Yes","Yes","Not informed","Bi-directional ConvLSTM U-net with densley connected convolutions"
"Sclera image processing for bilirubin level quantification","No","Not informed","No","Detection and Quantification","Yes","Not applicable","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Applicable mostly for adults","Non-Invasive Bilirubin Level Quantification and Jaundice Detection by Sclera Image Processing"
"Harris Corner Detection and Region Growing","Yes","New","Yes","Segmentation","No","Not informed","Not informed","Not informed","Not informed","Yes (color models, filtering)","Not informed","No","Not informed","No","Accuracy","95% Accuracy","No","No","Not informed","Segmentation of Skin Lesion Using Harris Corner Detection and Region Growing"
"Dense-Residual Network with Adversarial Learning","Yes","New","Yes","Segmentation","Yes","Not informed","ISBI2017 dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Jaccard distance, End Point Error","Not informed","Yes","No","Not informed","Segmentation of Lesion in Dermoscopy Images Using Dense-Residual Network with Adversarial Learning"
"Convolutional neural network (CNN)","Yes","Not informed","No","Classification","Yes","Melanoma and other skin cancers","Dermoscopic images dataset (11,444 images)","11,444","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (112 dermatologists)","Sensitivity, specificity","91.3% specificity at equal sensitivity to dermatologists, 98.8% specificity for multiclass classification","Yes","No","Not informed","Systematic outperformance of 112 dermatologists in multiclass skin cancer image classification by convolutional neural networks"
"Xception convolutional neural network","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Segmentation","Not informed","Yes","Not informed","No","Accuracy","89% accuracy","No","No","Not informed","AI Recognition in Skin Pathologies Detection"
"Heterogeneous framework of Deep CNN Features Fusion and Reduction","Yes","New","Yes","Classification","Yes","Not informed","PH2, ISIC 2017, ISBI 2016, and ISBI 2017 datasets","Not informed","Not informed","Yes (contrast enhancement through fast local Laplacian filtering and HSV color transformation)","Not informed","Yes (using Inception V3 model)","Yes (mentioned as 'Augmentation' in the abstract, but details not provided)","Yes","Accuracy","98.4% on PH2 dataset, 95.1% on ISBI dataset and 94.8% on ISBI 2017 dataset","Yes","Yes","Not informed","Region Extraction and Classification of Skin Cancer: A Heterogeneous framework of Deep CNN Features Fusion and Reduction"
"Class Centroid Based Convolutional Neural Network","Yes","New","No","Detection","Yes","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (fine-tuned ResNet)","Not informed","Yes (comparison with cross-entropy loss function and non-fine-tuned network)","Not informed","Comparable performance to classification network optimized with cross entropy loss function","No","No","Not informed","Class Centroid Based Convolutional Neural Network for Skin Cancer Detection"
"Combination of YOLO and GrabCut algorithm","Yes","New","Yes","Segmentation","Yes","Melanoma","PH2 and ISBI 2017 datasets","Not informed","Not informed","Yes (hair removal)","Not informed","Not informed","Not informed","Yes","Sensitivity, accuracy, specificity, Dice coefficient, Jaccard index","90% sensitivity rate on ISBI 2017 dataset","Yes","Yes (PH2 and ISBI 2017 datasets)","Not informed","Skin lesion segmentation in dermoscopic images with combination of yolo and grabcut algorithm"
"Enhanced High-Level Parsing (EHP) with Class Weighted Loss (CWL)","Yes","New","Yes","Segmentation","Yes","Melanoma","ISBI 2017 database","Not informed","No","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","State-of-the-art prediction performance","Yes","No","Not informed","Dermoscopic Image Segmentation Through the Enhanced High-Level Parsing and Class Weighted Loss"
"Fuzzy-like classification method with lesion color adaptation","Yes","New","No","Diagnosis","Yes","Not informed","Representative training photographs (5 images)","5 (training set), Not informed (test set)","Not informed","Yes (color adaptation technique)","Not informed","Not informed","Not informed","No","Accuracy","97.7% accuracy (with color adaptation), 85.3% accuracy (without color adaptation)","No","Not informed","Small training set, limited number of images","Skin disorder diagnosis with ambiguity reduction assisted by lesion color adaptation"
"Not informed","Yes","Not informed","Not informed","Diagnosis","Not informed","Melanoma and Non-melanoma skin cancer","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Need for large data pipelines, lack of metadata, and lack of rigorous standards","Artificial Intelligence in Skin Cancer"
"Not informed","No","Not informed","Not informed","Segmentation","Not informed","Breast cancer","Digital mammograms","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","No","No","Not informed","Mammogram segmentation methods: A brief review"
