"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Exploration of different similarity measures and lesion-shaped border expansion sizes for content-based dermatological lesion retrieval","Yes","Existing (Inception-ResNet-v2 classifier)","No","Retrieval","Yes, extracting features from skin lesion segment and surrounding tissues","Skin cancer","HAM dataset","Not informed","Not informed","Lesion-shaped border expansion","Experimental results on HAM dataset","Yes, using pre-trained Inception-ResNet-v2 classifier","Border expansion","No","Accuracy of content-based skin lesion retrieval","Proposed method produces meaningful interpretations and increases accuracy","No","No, only tested on HAM dataset","Not informed","Exploring XAI Attention Maps to Investigate the Effect of Distance Metric and Lesion-Shaped Border Expansion Size for Effective Content-Based Dermatological Lesion Retrieval"
"HST-MRF (Heterogeneous Swin Transformer with Multi-Receptive Field)","Yes","New","Yes, using heterogeneous attention and multi-receptive field patch information","Segmentation","Yes, using adaptive patch embedding (APE) and soft channel attention (SCA) modules","Polyp, skin lesion, and breast ultrasound segmentation tasks","Multiple datasets for polyp, skin lesion, and breast ultrasound segmentation tasks","Not informed","Not informed","Patch segmentation","Experimental results on multiple datasets","Not informed","Not informed","Yes, compared with state-of-the-art models","Segmentation quality and performance comparison","HST-MRF outperforms state-of-the-art models and achieves superior performance","Yes","Yes, tested on multiple datasets for polyp, skin lesion, and breast ultrasound segmentation tasks","Not informed","HST-MRF: Heterogeneous Swin Transformer with Multi-Receptive Field for Medical Image Segmentation"
"EMDA-Net (Earth Mover’s Distance influenced Attention-aided Neural Network)","Yes","New","Yes, using MobileNetV2 backbone and hybrid statistical mechanism-aided attention mechanisms","Classification","Not informed","Skin, cervical, and breast cancer","Datasets related to skin, cervical, and breast cancer (not specified)","Not informed","Not informed","Not informed","Experimentation on datasets","Yes, using MobileNetV2 backbone","Not informed","Yes, compared with state-of-the-art techniques","Diagnosis precision for various cancer types across the datasets","EMDA-Net outperforms state-of-the-art techniques in maximizing diagnosis precision","Yes","Yes, tested on skin, cervical, and breast cancer datasets","Not informed","EMDA-Net: Earth Mover’s Distance (EMD) influenced Attention-aided Neural Network for Medical Image Classification"
"Ensemble model combining VGG, Caps Net, and Reset models","Yes","New","Yes, using ensemble learning to combine multiple models","Classification","Yes, using automated feature extraction techniques","Melanoma and skin cancer","ISIC dataset","Not informed","Not informed","Not informed","Comparison of individual models with ensemble model","Not informed","Not informed","Yes, compared with individual VGG, Caps Net, and Reset models","Prediction accuracy and decision making","Ensemble model outperforms individual models for each genre","No","Not informed","Every individual machine learning model has inherent limitations","Discovery of concealed patterns in skin cancer detection using deep learning techniques"
"DuAT (Dual-Aggregation Transformer Network)","Yes","New","Yes, using Global-to-Local Spatial Aggregation (GLSA) and Selective Boundary Aggregation (SBA) modules","Segmentation","Yes, using GLSA to aggregate global and local spatial features","Skin lesions and polyps in colonoscopy images","Six benchmark datasets (not specified)","Not informed","Not informed","Not informed","Extensive experiments on six benchmark datasets","Not informed","Not informed","Yes, compared with state-of-the-art methods","Segmentation performance comparison","DuAT outperforms state-of-the-art methods in skin lesion and polyp segmentation","Yes","Yes, tested on six benchmark datasets","Not informed","DuAT: Dual-Aggregation Transformer Network for Medical Image Segmentation"
"Not specified (comprehensive overview of existing methods)","Yes","Existing","No","Diagnosis","Image Processing-Based Technique","Skin diseases and disorders (including skin cancer)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes, comparison of ANN, SVM, and Image Processing-Based Technique","Not informed","Not informed","No","Not informed","Traditional approach of biopsies has limitations, and skin diseases can be fatal if not contained","Skin Disorder Diagnosis through Soft Computing: A Comprehensive Overview"
"DenseNet121 with weighted augmentation and Fitzpatrick skin tone labeling","Yes","Existing (transfer learning models: ResNet, VGG, DenseNet)","No","Classification","Not informed","Skin cancer","HAM10000 dataset","Not informed","No, suffers from racial bias and under-representation of darker skin types","Weighted augmentation","Evaluation based on weighted average recall and comparison with recent transfer learning models","Yes, using pre-trained ResNet, VGG, and DenseNet models","Weighted augmentation","Yes, compared with other recent transfer learning models on HAM10000 dataset","Accuracy, recall, and weighted average recall","DenseNet121 achieved an accuracy of 0.919 and recall of 0.91","Yes, outperformed other recent transfer learning models on HAM10000 dataset","No, only tested on HAM10000 dataset","Model performance degraded for darker skin types due to under-representation in the dataset","Addressing Racial Bias in HAM10000 with Fitzpatrick Skin Tone Labeling for Skin Cancer Classification"
"NS-EfficientNet-L2 with automatic hyperparameter selection and transfer learning","Yes","Existing (EfficientNet) with modifications","Yes, combining CNN with metadata using a dense neural network","Classification","Yes, using pretrained EfficientNet-L2 as feature extractor","Various skin lesions","ISIC 2019 challenge dataset and private dataset","Not informed","No, imbalanced class distribution addressed through data quality enhancement","Addressing missing values, dermoscopic multi-resolutions, and artifacts","Experimental results on ISIC 2019 challenge dataset and private dataset","Yes, using transfer learning with pretrained EfficientNet-L2","Not informed","Yes, compared with state-of-the-art methods including the winner of the ISIC 2019 challenge","Balanced multi-class accuracy and F1-score","69.4% balanced multiclass accuracy and 87.7% F1-score achieved by CNN-AHPS","Yes, outperforming state-of-the-art methods","Yes, tested on ISIC 2019 challenge dataset and private dataset","Not informed","Towards improved skin lesions classification using automatic hyperparameters selection and transfer learning"
"Convolutional Neural Networks (CNNs) with Adam optimizer","Yes","Existing","No","Classification","Not informed","Skin cancer","Not specified","Not informed","Not informed","Not informed","Experimental results on a dataset","Not informed","Not informed","No","Accuracy rate","94% accuracy rate in identifying skin cancer","No","Not informed","Not informed","Cutting-Edge Skin Cancer Detection in a Smart Ecosystem"
"Binary subnetworks for classification of melanocytic skin lesions","Yes","New","No","Classification","Not informed","Melanocytic skin lesions","HAM10000 dataset","Not informed","Not informed","Not informed","Comparison of classification quality with traditional network model","Not informed","Not informed","Yes, compared with traditional network model with multiple outputs","Classification quality","Binary subnetworks outperform traditional network model in classification of benign cases and cases containing features of one of the lesions","No","No, only tested on HAM10000 dataset","Not informed","Application of binary subnetworks to classify images potentially containing melanocytic skin lesions"
"ZOA-CNN (Zebra Optimization Algorithm with Convolutional Neural Network)","Yes","New","Yes, combining ZOA with CNN for optimization and classification","Classification","Yes, using MobileNet for feature extraction","Melanoma","ISIC 2019 dataset","Not informed","Not informed","Histogram Equalization and conversion of RGB images to grayscale","Evaluation on various metrics","Not informed","Not informed","Yes, compared with GoogleNet","Accuracy (0.91) and other metrics (not specified)","ZOA-CNN achieves better accuracy than GoogleNet","No","No, only tested on ISIC 2019 dataset","Not informed","Zebra Optimization Algorithm with Convolutional Neural Network for Detecting Subtle Changes in Skin Pigmentation for Melanoma Screening"
"Convolutional Neural Network (CNN)-based algorithms","Yes","Existing","No","Classification","Not informed","Skin lesions","International Skin Imaging Collaboration (ISIC) library","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Diagnostic accuracy","Not informed","No","No, only tested on ISIC dataset","Not informed","Leveraging Advanced Deep Learning Techniques for Automated Dermatological Image Classification"
"Multimodal fusion model using image and patient metadata","Yes","New","Yes, combining image features with patient metadata","Classification","Not informed","Skin malignancy","Not specified","Not informed","Not informed","Not informed","Experimental results comparing image-only and fusion models","Not informed","Not informed","Yes, compared with image-only models","Performance comparison across skin tones","Fusion models perform substantially better than image-only models, with multiplicative fusion resulting in the best performance","No","Not informed","Feature fusion methods reduce but do not entirely eliminate disparity in performance across skin tones","Skin Malignancy Classification Using Patients’ Skin Images and Meta-data: Multimodal Fusion for Improving Fairness"
"Hybrid approach using GrabCut segmentation and Inception-v3 network","Yes","New","Yes, combining GrabCut algorithm for ROI extraction and Inception-v3 deep neural network for classification","Classification","Not informed","Various skin diseases","Dataset with a wide variety of skin diseases (not specified)","Not informed","Not informed","GrabCut algorithm for ROI extraction","Trained and tested on the dataset","Yes, using pre-trained Inception-v3 network","Not informed","No","Classification accuracy","98.34% classification accuracy","No","No","Not informed","A Hybrid Approach for Skin Disease Detection Using GrabCut Segmentation and Inception-v3 Network"
"Precision diagnostic system using ResNet and EfficientNet convolutional neural networks","Yes","Existing (ResNet and EfficientNet)","Yes, uses a secondary classifier for further classification of benign lesions","Classification","Not informed","Melanoma","Large dataset of dermoscopic images (not specified)","Not informed","Not informed","DICOM dermoscopic images","Comparison of ResNet and EfficientNet performance on the dataset","Not informed","Not informed","Yes, compared ResNet and EfficientNet performance","Diagnostic accuracy and precision","EfficientNet outperformed ResNet in differentiating between benign and malignant lesions","No","Not informed","Not informed","Precision Diagnosis of Melanoma using Deep Learning Techniques on DICOM Dermoscopic Images"
"MedSegViG (Medical Image Segmentation with a Vision Graph Neural Network)","Yes","New","Yes, combining hierarchical ViG encoder and lightweight convolutional decoder","Segmentation","Yes, using hierarchical ViG encoder to extract multi-level features","Skin lesions","Seven datasets (including skin lesion segmentation dataset)","Not informed","Not informed","Not informed","Extensive experiments on seven datasets","Not informed","Not informed","Yes, compared with state-of-the-art models","Performance comparison across various tasks and datasets","MedSegViG demonstrates superiority over state-of-the-art models","Yes","Yes, tested on seven datasets for three typical medical image segmentation tasks","Not informed","MedSegViG: Medical Image Segmentation with a Vision Graph Neural Network"
"Vision Transformer (ViT) with domain-associated transfer learning","Yes","Existing (ViT) with modifications","Yes, using transfer learning and image augmentation","Classification","Not informed","Various skin lesions","Hospital Italiano de Buenos Aires - Skin Lesions Images (2019-2022) and HAM10000 Dataset","1616 images in total","No, imbalanced class distribution","Image augmentation","Fine-tuning on the pre-trained model with actual dataset","Yes, using domain-associated transfer learning through HAM10000 Dataset","Yes, used image augmentation to improve accuracy","No","Accuracy and recall values","Validation accuracy improved by 4% from 70% to 74%","No","Yes, tested on Hospital Italiano de Buenos Aires - Skin Lesions Images (2019-2022) and HAM10000 Dataset","Imbalanced class distribution and lack of samples in the dataset","Improving Performance of Vision Transformer on Skin Lesion Detection Leveraging Domain Associated Transfer Learning"
"Weighted Ensemble CNN methodology","Yes","New","Yes, using ensemble learning to combine multiple CNN models","Classification","Not informed","Skin cancer","HAM10000 dataset","Not informed","Not informed","Not informed","Experimentation on three distinct architectures","Potential for transfer learning mentioned as future research direction","Not informed","Yes, compared with individual model accuracies","Accuracy (74.23% achieved through optimized weight configurations)","Weighted ensemble approach surpasses individual model accuracies","No","Only HAM10000 dataset mentioned, but potential for larger dataset evaluations discussed as future research direction","Need for further refinement and exploration before confident deployment in medical scenarios","Analysis and Prediction of Skin Cancer Disease using Ensemble CNN Technique"
"ResNet50 with Grad-CAM and Weighted Grad-CAM for interpretability","Yes","Existing (ResNet50) with modifications for interpretability","Yes, using transfer learning and Grad-CAM/Weighted Grad-CAM for interpretation","Classification","Not informed","Skin lesions (HAM10000 dataset)","HAM10000 dataset","Not informed","Not informed","Not informed","Training and validation accuracy comparison","Yes, using ResNet50 with transfer learning","Not informed","No","Accuracy (training: 97.83%, validation: 81.83%) and interpretability visualizations","Model achieved high accuracy with significant insights into model's decision-making process using Grad-CAM and Weighted Grad-CAM","No","No, only tested on HAM10000 dataset","Not informed","Enhancing Interpretability of Skin Lesion Classification Using Grad-CAM and Weighted Grad-CAM"
"Not informed (review paper)","Yes","Not informed (review paper)","Not informed (review paper)","Classification","Not informed (review paper)","Skin cancer","Various dataset collections (not specified)","Not informed","Not informed","Preprocessing techniques (not specified)","Evaluation metrics (not specified)","Yes, transfer learning strategies employed to improve model generalization and robustness","Yes, data augmentation strategies used to enhance model performance","Not informed (review paper)","Various evaluation metrics (not specified)","Not informed (review paper)","Not informed (review paper)","Yes, various dataset collections","Need for large-scale, diverse datasets, standardized evaluation protocols, and interdisciplinary collaborations","Advancements in Skin Cancer Detection: A Comprehensive Review of Convolutional Neural Network Approaches"
"Optimized Hybrid deep learning Model","Yes","Hybrid","Yes, combining deep learning and machine learning","Classification","Yes, using pre-trained models (Inception ResNet V2, Inception V3, ResNet 50, Densenet, CNN) and DL models","Melanoma skin cancer","Dataset comprising benign and malignant classes (not specified)","Not informed","No, dataset is imbalanced with scarcity of images depicting malignant lesions","Yes, using Contrast Limited Adaptive Histogram Equalization (CLAHE) and augmentation techniques","Comparison with conventional methods","Yes, using pre-trained models","Yes, applied to address dataset imbalance","Yes, compared with conventional methods","Performance improvement (4% increase)","Notable improvement in performance","No","Not informed","Dataset imbalance and scarcity of images depicting malignant lesions","Detection of Skin cancer using Optimized Hybrid deep learning Model"
"SkinDiff (Novel Data Synthesis Method based on Latent Diffusion Model)","Yes","New","No","Segmentation","Not informed","Skin lesions","Expanded skin lesion dataset using SkinDiff method","Not informed","Not informed","Generating Foreground and Outpainting Background techniques for data synthesis","Experimental results on expanded dataset","Not informed","Yes, using SkinDiff method to synthesize new labeled image samples","No","Performance improvement of segmentation model after expanding the dataset","Significant performance improvement in skin lesion segmentation","No","Not informed","Not informed","SkinDiff: A Novel Data Synthesis Method Based on Latent Diffusion Model for Skin Lesion Segmentation"
"DeepSegNet+FCM (Fuzzy Cognitive Map and Deep-Seg Net)","Yes","Hybrid","Yes, combining FCM with Deep-Seg Net","Segmentation and detection","Yes, extracting features such as texture, statistical attributes, LNDPs, and DWT-based Local Directional Pattern","Skin cancer","Not informed","Not informed","Not informed","Adaptive bilateral filtering and optimizing input skin cancer images","Evaluation of the proposed methodology using metrics such as dice coefficient, accuracy, negative predictive value, positive predictive value, sensitivity, and specificity","Not informed","Not informed","No","Dice coefficient, accuracy, negative predictive value, positive predictive value, sensitivity, and specificity","DeepSegNet+FCM model scored 97% accurate, 93% negative predictive value, 94% positive predictive value, 98% sensitivity, and 96% specificity","No","Not informed","Not informed","Fuzzy Cognitive Map and Deep-Seg Net for Enhancing Skin Cancer Segmentation and Detection"
"Convolutional Neural Networks (CNN)","Yes","Existing","No","Classification","Not informed","Skin cancer","Popular databases (not specified)","Not informed","Not informed","Not informed","Comprehensive review of existing research","Not informed","Not informed","No","Accuracy and efficiency comparison with traditional methods","CNN-based methods outperform traditional methods in terms of accuracy and efficiency","No","Not informed","Stability and reliability issues, limitations and areas for further research","Classification of Skin Cancer Detection using CNN"
"SplitFusionNet (based on u-shape split learning)","Yes","New","No","Classification","Not informed","Skin lesions","Real-world dataset containing multi-modal image inputs and multi-label ground truth (not specified)","Not informed","Not informed","Lossless compression and decompression to improve communication cost between client and server","Experimental results comparing SplitFusionNet with non-split centralized training","No","Not informed","Yes, compared with non-split centralized training","Training pipeline time and predictive performance comparison","SplitFusionNet requires less training pipeline time than non-split centralized training while achieving equal predictive performance","No","Not informed","Not informed","Split Learning of Multi-Modal Medical Image Classification"
"Robust Deep Feature Fusion Model","Yes","New","Yes, combining Xception and Google's Big Transfer (BiT-M) models with feature fusion strategy","Classification","Yes, using squeeze and excitation attention module to enhance fused feature maps","Skin cancer","ISIC 2017 dataset","Not informed","Not informed","Not informed","Evaluation on ISIC 2017 dataset","Yes, using pre-trained Xception and BiT-M models","Not informed","Yes, compared with recently published methods","Accuracy (0.795)","Surpassed the performance of many recently published methods","Yes","No, only tested on ISIC 2017 dataset","Not informed","A Robust Deep Feature Fusion Model for Skin Cancer Classification"
"GM-UNet (Graph Mamba UNet)","Yes","New","Yes, integrating Graph Cross Attention (GCA) and Parallel Channel Spatial Attention (PCSA) modules","Segmentation","Yes, using graph neural networks to capture global dependencies","Skin lesions","ISIC2017, ISIC2018, and Synapse datasets","Not informed","Not informed","Not informed","Rigorous evaluation across two distinct tasks: skin lesion segmentation and organ segmentation","Not informed","Not informed","Yes, compared with existing state-of-the-art models","Segmentation accuracy","GM-UNet architecture outperforms existing state-of-the-art models concerning segmentation accuracy","Yes","Yes, tested on ISIC2017, ISIC2018, and Synapse datasets","Not informed","GM-UNet: Graph Mamba UNet for Medical Image Segmentation"
"Two-stage approach using contrastive learning-based encoders and Efficientnet classifier","Yes","New","Yes, combining contrastive learning with Efficientnet classification","Classification","Yes, using contrastive learning-based encoders to capture intricate features","Skin diseases and skin cancers","ISIC2017 dataset","Not informed","Not informed","Not informed","Experimental results on ISIC2017 dataset","Not informed","Not informed","Yes, compared with native Efficientnet model","Performance comparison on skin diseases classification task","Two-stage approach outperforms native Efficientnet model","No","No, only tested on ISIC2017 dataset","Not informed","Leveraging Contrastive Learning for Enhanced Skin Diseases Classification"
"End-to-end, multi-task, interpretable deep learning diagnostic model","Yes","New","Yes, combining class balancing module, course learning fusion module, and diagnostic decoder","Classification and interpretability","Not informed","Melanoma","Dermatology dataset (not specified)","Not informed","No, classes are extremely unbalanced","Not informed","Experimental results on dermatology dataset","Not informed","Not informed","No","Average accuracy (74.43%) and interpretability","Model effectively improves interpretability of deep learning while ensuring accuracy","No","Not informed","Class imbalance in dataset","A Multilabel Dermatologic Classification and Interpretability Study for Small Samples and Extremely Unbalanced Classes"
"Transfer learning using Convolutional Neural Networks (CNNs)","Yes","Existing","No","Classification","Not informed","Skin cancer","HAM10000 dataset","10,015 dermatoscopic images","No, class imbalances addressed using data augmentation strategy","Image resizing and normalization","Systematic evaluation of six state-of-the-art CNN models","Yes, using pre-trained CNN models (VGG16, VGG19, ResNet50, MobileNet, MobileNetV2, and MobileNetV3)","Yes, combined with standard preprocessing techniques","Yes, compared six state-of-the-art CNN models","Accuracy and F1-score","ResNet50 achieves the highest accuracy and F1-score","No","No, only tested on HAM10000 dataset","Class imbalances and trade-off between model accuracy and computational efficiency","Transfer Learning Based Skin Cancer Detection Using Convolutional Neural Networks"
"Not informed (review article)","Yes","Not informed (review article)","Not informed (review article)","Diagnosis","Not informed (review article)","Skin cancer","Readily accessible skin datasets (not specified)","Not informed","Not informed","Not informed","Not informed (review article)","Not informed (review article)","Not informed (review article)","Not informed (review article)","Not informed (review article)","Not informed (review article)","No","Not informed (review article)","Not informed","A Review on Deep Learning Techniques for skin disease Detection"
"MobileNetV1 with SLIC segmentation","Yes","Existing","Yes, using various image segmentation and deep learning approaches","Classification","Yes, using pre-trained models (ResNet18, ResNet50, EfficientNetB3)","Skin cancer","Combination of reputable databases and local patient images","Not informed","Not informed","Yes, using YOLOv5 and SLIC algorithms for segmentation","Experimental results on various configurations","Yes, using pre-trained models (VGG16, MobileNetV1)","Not informed","Yes, compared with other trained models (76 different configurations)","Average accuracy and recognition accuracy for each class","MobileNetV1 with SLIC segmentation achieved highest average accuracy of 99.42%","No","Yes, tested on combination of reputable databases and local patient images","Not informed","A Comparative Study on Automated Detection of Skin Diseases Using Various Image Segmentation and Deep Learning Approaches"
"Not informed (survey article)","Yes","Not informed","Not informed","Survey of AI in skin cancer detection","Not informed","Skin cancer","More than 10 research papers based on IEEE standards (not specific datasets)","Not informed","Not informed","Sophisticated image processing techniques mentioned, but not specified","Evaluation of models and metrics used in reviewed research papers","Mentioned as a topic explored in the survey (influence on dermatology)","Not informed","Comparison with traditional methods mentioned, but not specified","Metrics used to evaluate models in reviewed research papers (not specific metrics listed)","Survey provides comprehensive understanding of AI's role in skin cancer detection and future directions for improvement","Not informed (survey article does not compare with state-of-the-art methods directly)","More than 10 research papers reviewed, but specific datasets used are not listed","Survey mentions challenges related to obtaining diverse and representative datasets","Revolutionizing Dermatological Diagnoses: A Comprehensive Survey on the Transformative Role of AI in Skin Cancer Detection"
"Not informed (focus on bias evaluation and mitigation)","Yes","Not informed","No","Bias evaluation and mitigation in skin cancer classification","Not informed","Skin cancer","Not specified (mentions datasets with underrepresented darker skin tones)","Not informed","No (datasets are imbalanced due to underrepresentation of darker skin tones)","Augmentations (e.g., Color Jitter) to address bias","Kruskal-Wallis hypothesis test and analysis of augmentation techniques","Not informed","Yes, various augmentations (including Color Jitter) are evaluated for bias reduction","No (focus on evaluating and mitigating bias)","Bias quantification using Kruskal-Wallis hypothesis test","Color Jitter augmentation technique effectively eliminates bias","No","Not informed (but mentions analysis of interplay between light and dark skin images)","Datasets are imbalanced due to underrepresentation of darker skin tones","Towards Equitable Diagnosis: Bias Evaluation and Mitigation in Skin Cancer Classification"
"Deep Convolutional Neural Networks (CNNs)","Yes","Existing","Yes, explores multimodal approaches and fusion techniques","Classification","Yes, learns hierarchical features from images","Breast cancer and skin cancer","Not informed (various datasets for breast and skin cancer diagnosis)","Not informed","Not informed","Not informed","Comprehensive review of applications in breast and skin cancer diagnosis","Not informed","Not informed","No (review chapter, no specific comparison)","Diagnostic accuracy and potential for improvement with multimodal approaches","Deep CNNs have achieved remarkable results in breast and skin cancer diagnosis","No (review chapter, no specific comparison)","Yes, various datasets for breast and skin cancer diagnosis","Need for large and diverse datasets, interpretability of CNN decisions, potential biases in model predictions","Deep CNNs in Image-Guided Diagnosis of Breast and Skin Cancers"
"DGEAHorNet (Dual Cross Global Efficient Attention for Skin Lesion Segmentation)","Yes","New","Yes, using recursive gate convolution and dual cross global efficient attention","Segmentation","Yes, using multi-scale contextual information extraction","Skin lesions","ISIC2018, ISIC2017, and PH2 datasets","Not informed","Not informed","Not informed","Comprehensive experiments on three publicly-available skin datasets","Not informed","Not informed","Yes, compared with other state-of-the-art methods","Dice similarity coefficient (DSC)","0.9320, 0.9337, and 0.9474 DSC on ISIC2018, ISIC2017, and PH2 datasets respectively","Yes","Yes, tested on three publicly-available skin datasets (ISIC2018, ISIC2017, and PH2)","Not informed","DGEAHorNet: High-order Spatial Interaction Network with Dual Cross Global Efficient Attention for Skin Lesion Segmentation"
"Custom Convolutional Neural Network (CNN) model","Yes","New","No","Classification","Not informed","Skin cancer and other skin diseases","Skin disease and skin cancer dataset with 57 classes","Not informed","Not informed","Data augmentation (mentioned, but details not provided)","Comparison with pre-trained models","Yes, comparison with pre-trained models","Yes","Yes, compared with other pre-trained models","Accuracy (96.64% achieved by custom model)","Custom CNN model achieves accuracy of over 96.64%","No","Not informed","Not informed","Deep Learning in Dermatology: Convolutional Neural Network-Based Classification of Skin Diseases and Cancer"
"AI-based diagnostic tool using Convolution Neural Networks (CNN) and Convolutional Recurrent Neural Networks (CRNN)","Yes","Existing","No","Classification","Not informed","Skin cancer","International Skin Imaging Collaboration (ISIC) dataset","Not informed","Not informed","Yes, using normalization and data augmentation","Splitting data into train and validation sets","Not informed","Yes","No","Accuracy","CNN: 88.47% accuracy, CRNN: 76.87% accuracy","No","No","Not informed","Development of an AI-Based Diagnostic Tool for Skin Cancer Classification using Dermoscopic Images"
"Re-SKD (Reverse self-knowledge distillation) training framework","Yes","New","No","Classification","Yes, using features extracted from shallow layer to construct teacher","Skin disease classification (HAM10000 dataset)","HAM10000 public data set","Not informed","Not informed","Not informed","Experimental results on HAM10000 dataset","No, self-knowledge distillation without pre-trained teachers","Not informed","Yes, compared with traditional self-knowledge distillation methods","Performance improvement in skin disease classification","Re-SKD training framework significantly improves model performance","No","No, only tested on HAM10000 dataset","Not informed","REVERSE self-knowledge distillation for skin lesion image classification"
