"Document Title","Authors","Publication Year","Title: Skin","Abstract: Skin","First Removal","Abstract: Traditional ML","Second Removal","Duplication Status","Third Removal","Accepted or not","Proposed Model","Tasks (Objectives)","Used Databases"," Proposed Methodology"," Evaluation Metrics and Results","Abstract","DOI","Author Keywords","Article Citation Count","PDF Link"
"A Novel Approach for Automatic Identification of Psoriasis Affected Skin Area.","Arunkumar T.R.; Jayanna H.S.","2018","1","1","0","0","0","Unique","0","","","","","","","The paper presents the detection of psoriasis affected skin. Thecolor feature of the skin from RGB model, where the skin color is defined as redness, greenness, and blueness are analyzed. An algorithm is developed to differentiate affected area from non affected area. The color histogram analysis is carried out for more than fifty samples to analyse erythema in order to differentiate affected skin from non affected skin. Today dermatologists visually analyse the patients for the line of treatment which is biased by various external factors. The proposed model for diagnosis is not subjective where the decisions are based on various external factors such as emotions, part of the day and vary from dermatologist to dermatologist which may have a great impact on the treatment of the disorder. The algorithm is objective and minimizes the deviation in the line of treatment as it is not affected by intra and inter diagnosis by dermatologists. The RGB histogram is analyzed and a model is built based on mean and standard deviation to differentiate healthy skin and psoriasis disorder affected skin. © 2017 IEEE.","10.1109/ICECIT.2017.8453316","Erythema; Histogram; Mean and Standard Deviation; Texture","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054033952&doi=10.1109%2fICECIT.2017.8453316&partnerID=40&md5=a5cf60d1717068286275e9eca78c74bd"
"Improving Skin Lesion Segmentation with Generative Adversarial Networks","Bolelli F.; Pollastri F.; Paredes R.; Grana C.","2018","1","0","0","0","0","First occurrence","0","","","","","","","This paper proposes a novel strategy that employs Generative Adversarial Networks (GANs) to augment data in the image segmentation field, and a Convolutional-Deconvolutional Neural Network (CDNN) to automatically generate lesion segmentation mask from dermoscopic images. Training the CDNN with our GAN generated data effectively improves the state-of-the-art. © 2018 IEEE.","10.1109/CBMS.2018.00086","Convolutional Deconvolutional Neural Networks; Generative Adversarial Networks; Skin Lesion Segmentation","28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050970405&doi=10.1109%2fCBMS.2018.00086&partnerID=40&md5=52f63e23f34087624ed7d22158c75269"
"Skin lesion segmentation method for dermoscopy images using artificial bee colony algorithm","Aljanabi M.; Özok Y.E.; Rahebi J.; Abdullah A.S.","2018","1","0","0","0","0","Unique","0","","","","","","","The occurrence rates of melanoma are rising rapidly, which are resulting in higher death rates. However, if the melanoma is diagnosed in Phase I, the survival rates increase. The segmentation of the melanoma is one of the largest tasks to undertake and achieve when considering both beneath and over the segmentation. In this work, a new approach based on the artificial bee colony (ABC) algorithm is proposed for the detection of melanoma from digital images. This method is simple, fast, flexible, and requires fewer parameters compared with other algorithms. The proposed approach is applied on the PH2, ISBI 2016 challenge, the ISBI 2017 challenge, and Dermis datasets. These bases contained images are affected by different abnormalities. The formation of the databases consists of images collected from different sources; they are bases with different types of resolution, lighting, etc., so in the first step, the noise was removed from the images by using morphological filtering. In the next step, the ABC algorithm is used to find the optimum threshold value for the melanoma detection. The proposed approach achieved good results in the conditions of high specificity. The experimental results suggest that the proposed method accomplished higher performance compared to the ground truth images supported by a Dermatologist. For the melanoma detection, the method achieved an average accuracy and Jaccard's coefficient in the range of 95.24-97.61%, and 83.56-85.25% in these four databases. To show the robustness of this work, the results were compared to existing methods in the literature for melanoma detection. High values for estimation performance confirmed that the proposed melanoma detection is better than other algorithms, which demonstrates the highly differential power of the newly introduced features. © 2018 by the authors.","10.3390/sym10080347","Artificial bee colony (ABC); Dermoscopy; Heuristic method; Image segmentation; Skin melanoma","47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052491100&doi=10.3390%2fsym10080347&partnerID=40&md5=0b0fe6c3c8e9c01fbf01c984a252a2cd"
"Analyzing Skin Lesions in Dermoscopy Images Using Convolutional Neural Networks","Singh V.; Nwogu I.","2018","1","1","0","0","0","First occurrence","0","","","","","","","In this paper, we discuss the problem of automatic skin lesion analysis, specifically melanoma detection and semantic segmentation. We accomplish this by using deep learning techniques to perform classification on publicly available dermoscopic images. Skin cancer, of which melanoma is a type, is the most prevalent form of cancer in the US and more than four million cases are diagnosed in the US every year. In this work, we present our efforts towards an accessible, deep learning-based system that can be used for skin lesion classification, thus leading to an improved melanoma screening system. For classification, a deep convolutional neural network architecture is first implemented over the raw images. In addition, hand-coded features such as 166-D color histogram distribution, edge histogram and Multiscale Color local binary patterns are extracted from the images and presented to a random forest classifier. The average of the outputs from the two mentioned classifiers is taken as the final classification result. The classification task achieves an accuracy of 80.3%, AUC score of 0.69 and a precision score of 0.81. For segmentation, we implement a convolutional-deconvolutional architecture and the segmentation model achieves a Dice coefficient of 73.5%. © 2018 IEEE.","10.1109/SMC.2018.00684","Classification algorithms; Convolutional Neural Networks (CNN); Dermatology; Learning systems","24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062242434&doi=10.1109%2fSMC.2018.00684&partnerID=40&md5=1800826cfb4e523946773014626bf5f1"
"A survey on automated melanoma detection","Okur E.; Turkan M.","2018","0","1","0","0","0","Unique","0","","","","","","","Skin cancer is defined as the rapid growth of skin cells due to DNA damage that cannot be repaired. Melanoma is one of the deadliest types of skin cancer, which originates from melanocytes. While other skin cancer types have limited spreading capabilities, the danger of melanoma comes from its ability to spread (metastasize) rapidly. Fortunately, it can be detected by visual inspection of the skin surface, and it is 100% curable if identified in the early stages. However, detection by “subjective visual inspection” creates an important problem, due to investigators’ different levels of experiences and education. Dermoscopy (dermatoscopy) has significantly increased the diagnostic accuracy of melanoma since late 90’s. In addition, several systems have been proposed in order to assist investigators or to perform an automatic melanoma detection. This survey focuses on the algorithms for automated melanoma detection in dermoscopic images through an extensive analysis of the stages in methodologies proposed in the literature, and by examining related concepts and describing possible future directions through open problems in this domain of research. © 2018 Elsevier Ltd","10.1016/j.engappai.2018.04.028","Automated detection; Dermoscopy; Image processing; Machine learning; Melanoma detection; Skin cancer","84","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047056100&doi=10.1016%2fj.engappai.2018.04.028&partnerID=40&md5=2aa4b6307bfeb335ec29140934e9f095"
"Deep Ensemble Learning for Skin Lesion Classification from Dermoscopic Images","Shahin A.H.; Kamal A.; Elattar M.A.","2018","1","1","0","0","0","Unique","0","","","","","","","Skin cancer is one of the leading causes of death globally. Early diagnosis of skin lesion significantly increases the prevalence of recovery. Automatic classification of the skin lesion is a challenging task to provide clinicians with the ability to differentiate between different kind of lesion categories and recommend the suitable treatment. Recently, Deep Convolutional Neural Networks have achieved tremendous success in many machine learning applications and have shown an outstanding performance in various computer-assisted diagnosis applications. Our goal is to develop an automated framework that efficiently performs a reliable automatic lesion classification to seven skin lesion types. In this work, we propose a deep neural network-based framework that follows an ensemble approach by combining ResNet-50 and Inception V3 architectures to classify the seven different skin lesion types. Experimental validation results have achieved accurate classification with an assuring validation accuracy up to 0.899. © 2018 IEEE.","10.1109/CIBEC.2018.8641815","deep learning; deep neural networks; diagnosis; melanoma; skin lesions","113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063203458&doi=10.1109%2fCIBEC.2018.8641815&partnerID=40&md5=7f537c450ddd95dfdacaaa0786ae037d"
"Skin Cancer Classification using Deep Learning and Transfer Learning","Hosny K.M.; Kassem M.A.; Foaud M.M.","2018","1","1","0","0","0","First occurrence","0","","","","","","","Skin cancer, specially melanoma is one of most deadly diseases. In the color images of skin, there is a high similarity between different skin lesion like melanoma and nevus, which increase the difficulty of the detection and diagnosis. A reliable automated system for skin lesion classification is essential for early detection to save effort, time and human life. In this paper, an automated skin lesion classification method is proposed. In this method, a pre-trained deep learning network and transfer learning are utilized. In addition to fine-tuning and data augmentation, the transfer learning is applied to AlexNet by replacing the last layer by a softmax to classify three different lesions (melanoma, common nevus and atypical nevus). The proposed model is trained and tested using the ph2 dataset. The well-known quantative measures, accuracy, sensitivity, specificity, and precision are used in evaluating the performance of the proposed method where the obtained values of these measures are 98.61%, 98.33%, 98.93%, and 97.73%, respectively. The performance of the proposed method is compared with the existing methods where the classification rate of the proposed method outperformed the performance of the existing methods. © 2018 IEEE.","10.1109/CIBEC.2018.8641762","","232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063229823&doi=10.1109%2fCIBEC.2018.8641762&partnerID=40&md5=d2734153e6628bd362b79d36893aff7b"
"Deep Convolutional Pixel-wise Labeling for Skin Lesion Image Segmentation","Youssef A.; Bloisi D.D.; Muscio M.; Pennisi A.; Nardi D.; Facchiano A.","2018","1","1","0","0","0","First occurrence","0","","","","","","","Melanoma is one of the deadliest form of cancer with an increasing incidence rate. The development of automatic diagnostic tools for the early detection of skin cancer lesions in dermoscopic images can help to reduce melanoma-induced mortality. In this paper, we present an automatic method for skin lesion image segmentation based on a deep learning algorithm for pixel-wise labeling. Experimental results have been obtained by testing two network architectures on publicly available data and, in order to show that the used approach is not data set related, we have used the ISIC database for training the network and the PH2 database for testing. The results show that the proposed approach achieves a very accurate segmentation even in presence of hair and air/oil bubbles. An additional contribution of this work is the development of a semi-automatic GUI for data annotation that can be used to generate more test images. © 2018 IEEE.","10.1109/MeMeA.2018.8438669","Deep Learning Image Processing; Dermoscopy Images; Melanoma Detection; Skin Lesion Segmentation","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053153323&doi=10.1109%2fMeMeA.2018.8438669&partnerID=40&md5=4fc411e66fcae18e1d4a272b613a2669"
"An Automatic Segmentation of Skin Lesion from Dermoscopy Images using Watershed Segmentation","Chakkaravarthy A.P.; Chandrasekar A.","2018","1","1","0","0","0","First occurrence","0","","","","","","","Among all cancers, there is a deadly disease that affects the outer layer of the body which skin cancer. There are many rules for analysis and detection of skin lesion which are provided in literature reviews. In the proposed research work, the main task is to identify the malignant lesion at the initial stage. In the initial pre-processing, the noise is isolated and a purely digital image for segmentation and Edge detection is prepared. The Sobel Operator filters the extracted cancer region as foreground region and the remaining part of the image as background regions. Finally, the desired diagnosis is extracted from the Gradient magnitude based on Watershed Transformation. Watershed segmentation segments or separates the adjacent different colors in RGB image. The proposed simulation measures the accurate diagnosis between Threshold image, gradient Image and Watershed Image and confirms the best-offered values of accuracy up to 90.46%, sensitivity up to 98.36% and specificity up to 82.95%. © 2018 IEEE.","10.1109/RTECC.2018.8625662","Gaussian Filter; Gradient Magnitude; Salt and Pepper Noise; Sobel Operator; Watershed Segmentation","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062542446&doi=10.1109%2fRTECC.2018.8625662&partnerID=40&md5=44ed7cc66a9e5cf9ea2c17c635d952c2"
"Classification of Skin Lesion by Interference of Segmentation and Convolotion Neural Network","Rehman M.U.; Khan S.H.; Danish Rizvi S.M.; Abbas Z.; Zafar A.","2018","1","1","0","0","0","First occurrence","0","","","","","","","Classification of skin lesions plays a crucial role in diagnosing various, local and gene related, medical conditions in the field of dermoscopy. Estimation of these biomarkers are used to provide some insight, while detecting cancerous cells and classifying the lesion as either benign or malignant. This paper presents groundwork for detection of skin lesions with cancerous inclination by segmentation and subsequent application of Convolution Neural Network on dermoscopy images. Images included in ISIC-2016 were used as dataset. Images with skin lesions were segmented based on individual channel intensity thresholding. The resultant images were fed into CNN for feature extraction. The extracted features were then used for classification by an ANN classifier. Previously, several approaches have been used for subject diagnostic with varying degree of success. However, room is still available for exploring other techniques for improving proportion of successfully detected malignant lesions. As compared to a previous best of 97%, methodology presented in this paper yielded an accuracy of 98.32%. © 2018 IEEE.","10.1109/ICEI18.2018.8448814","accuracy; artificial neural network (ANN); convolutional neural network (CNN); ReLU; segmentation; sensitivity; skin lesion; specificity","54","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054004678&doi=10.1109%2fICEI18.2018.8448814&partnerID=40&md5=2f9698ab9adfcdce135f06ae1f56a6f9"
"An Enhanced Hybrid Model for Skin Diagnosis Using Deep Convolution Neural Network","Shoieb D.A.; Youssef S.M.","2018","1","1","0","0","0","Unique","0","","","","","","","Melanoma is the deadliest form of skin cancer. Unfortunately, Skin cancer can't be identified by visual examination. So, there is a call for an automated model which assists dermatologists in early diagnosis of skin cancer and help remote patient to save their life by remote diagnosis. This paper introduces an enhanced expert computer-aided model for skin diagnosis using deep learning. The proposed region of interest (ROI) segmentation is done by integrating both color and texture properties for the skin in both spatial and frequency domains. Then, the convolution neural network (CNN) is used for extracting all the possible discriminating features. Experiments have been conducted on various large datasets to demonstrate the efficiency of the proposed model. The experimental results show an outstanding performance in the terms of sensitivity, specificity and accuracy compared with others in literature. © 2018 IEEE.","10.1109/CIBEC.2018.8641806","computer-aided diagnosis; Convolution neural networks; deep learning; discriminating features","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063212654&doi=10.1109%2fCIBEC.2018.8641806&partnerID=40&md5=9d2ad66adc1bf3c0a15d99818a9ec9fd"
"Tissue classification and segmentation of pressure injuries using convolutional neural networks","Zahia S.; Sierra-Sosa D.; Garcia-Zapirain B.; Elmaghraby A.","2018","0","1","0","0","0","Unique","0","","","","","","","Background and Objectives: This paper presents a new approach for automatic tissue classification in pressure injuries. These wounds are localized skin damages which need frequent diagnosis and treatment. Therefore, a reliable and accurate systems for segmentation and tissue type identification are needed in order to achieve better treatment results. Methods: Our proposed system is based on a Convolutional Neural Network (CNN) devoted to performing optimized segmentation of the different tissue types present in pressure injuries (granulation, slough, and necrotic tissues). A preprocessing step removes the flash light and creates a set of 5x5 sub-images which are used as input for the CNN network. The network output will classify every sub-image of the validation set into one of the three classes studied. Results: The metrics used to evaluate our approach show an overall average classification accuracy of 92.01%, an average total weighted Dice Similarity Coefficient of 91.38%, and an average precision per class of 97.31% for granulation tissue, 96.59% for necrotic tissue, and 77.90% for slough tissue. Conclusions: Our system has been proven to make recognition of complicated structures in biomedical images feasible. © 2018 Elsevier B.V.","10.1016/j.cmpb.2018.02.018","Convolutional neural networks; Deep learning; Image segmentation; Pressure injuries; Tissue type classification","74","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043369305&doi=10.1016%2fj.cmpb.2018.02.018&partnerID=40&md5=aab242960976e1122e2b5ddd9e25baca"
