"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Bio-inspired deep-CNN pipeline","Yes, skin cancer early diagnosis (melanoma)","Adaptation","No, single model used for task","Early diagnosis of melanomas using non-invasive methodologies based on morphological analysis of the skin lesion","Yes, deep features extracted by CNN pipeline for early detection and classification of melanoma","Melanoma (most aggressive type of skin cancer)","Not specified in the text but mentioned as 'benchmark dataset' used to evaluate performance of proposed pipeline","10 images used for training and testing deep learning model","No (class imbalance not explicitly stated)","Yes, morphological analysis included in proposed method","Quantitative measures: accuracy, precision, recall, F1-score, AUC-ROC curve","Not applicable","No (not mentioned as part of the proposed pipeline)","Yes, comparison with previous approaches confirmed good performance of proposed pipeline","Quantitative measures: accuracy, precision, recall, F1-score, AUC-ROC curve","Proposed deep-CNN pipeline achieved high accuracy and robustness in early diagnosis of melanomas compared to traditional methods (e.g. ABCDE method)","Yes, comparison with state-of-the-art approaches demonstrated good performance of proposed pipeline","No (tested on benchmark dataset used for evaluation)","Not explicitly stated","Bio-inspired deep-CNN pipeline for skin cancer early diagnosis"
"Not applicable (biological analysis)","Yes, psoriasis","N/A","No","Analysis of circulating soluble programmed death 1 (PD-1), neuropilin 1 (NRP-1) and human leukocyte antigen-G (HLA-G) in psoriatic patients","Not applicable","No, psoriasis is a skin condition","57 psoriatic patients and 29 controls","N/A","Yes (no class imbalance mentioned)","Not applicable","Statistical analysis: ELISA method, PASI, BSA, PGA","No","N/A","Yes (compared with control group)","Soluble NRP-1 concentration was significantly higher in psoriatic patients compared to controls, while soluble PD-1 and sHLA-G concentrations were not significantly different between the groups.","Increased concentrations of sNRP-1 may be indicative of impaired immune tolerance mechanisms in psoriasis","Yes (compared with control group)","No","Not explicitly stated","Analysis of circulating soluble programmed death 1 (PD-1), neuropilin 1 (NRP-1) and human leukocyte antigen-G (HLA-G) in psoriatic patients"
"Two-dimensional phasor-based approach (μMAPPS) and clustering algorithm","No, cancer xenografts in mice","Adaptation","Yes, combines μMAPPS with tissue morphology information for disease diagnosis","Automated tumor micro-architecture analysis using polarization-dependent second harmonic imaging","Yes, extracts collagen fibrils microscopic parameters (orientation and anisotropy) at a mesoscopic level","Two cancer xenografts in mice","Not specified in the text but mentioned as 'histopathology sections' from two cancer xenografts in mice","Not specified in the text but mentioned as 'few mm in size'","No (class imbalance not explicitly stated)","Yes, preprocessing step included in μMAPPS approach for tissue analysis","Quantitative measures: fibril entropy parameter to identify tumor edges and automatic segmentation","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with standard histopathology for disease diagnosis","Quantitative measures: fibril entropy parameter to identify tumor edges and automatic segmentation","μMAPPS approach combined with tissue morphology information has potential to become a support to standard histopathology in diseases diagnosis","Yes, comparison with state-of-the-art methods for cancer diagnosis using label-free imaging techniques","No (tested on two cancer xenografts in mice)","Not explicitly stated","Whole-section tumor micro-architecture analysis by a two-dimensional phasor-based approach applied to polarization-dependent second harmonic imaging"
"Computer-assisted diagnosis (CAD) systems using dermoscopy and spectroscopy-based techniques","Yes, skin cancer detection in adults","Adaptation","No, single models used for each task","To determine the accuracy of CAD systems for diagnosing cutaneous invasive melanoma and atypical intraepidermal melanocytic variants, BCC or cSCC in adults","Yes, dermoscopy-based CAD (Derm-CAD) and spectroscopy-based CAD (Spectro-CAD) used to extract lesion features for diagnosis","Melanoma, Basal Cell Carcinoma (BCC), Cutaneous Squamous Cell Carcinoma (cSCC)","ISIC-2016 benchmark dataset and other datasets not specified in the text","9602 lesions from 23 study cohorts for Derm-CAD, and 6336 lesions from 16 study cohorts for Spectro-CAD","No (class imbalance not explicitly stated)","Yes, dermoscopy-based preprocessing step included in proposed method","Quantitative measures: sensitivity, specificity, accuracy, F1 score, and Jaccard coefficient","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with dermoscopy-based diagnosis","Quantitative measures: sensitivity, specificity, accuracy, F1 score, and Jaccard coefficient","Derm-CAD had a pooled sensitivity of 90.1% (95% CI 84.0% to 94.0%) and specificity of 74.3% (95% CI 63.6% to 82.7%), while Spectro-CAD had a pooled sensitivity of 92.9% (95% CI 83.7% to 97.1%) and specificity of 43.6% (95% CI 24.8% to 64.5%)","Yes, CAD systems demonstrated high sensitivity but low specificity compared to dermoscopy-based diagnosis","No (tested on various datasets not specified in the text)","Insufficient data available for community settings and keratinocyte cancers","Computer-assisted diagnosis techniques (dermoscopy and spectroscopy-based) for diagnosing skin cancer in adults"
"Full resolution convolutional networks (FrCN)","Yes, skin lesion segmentation in dermoscopy images","Adaptation","No, single model used for task","Automated skin lesion segmentation using deep learning","Yes, full resolution features extracted by FrCN for each individual pixel of input data","Melanoma and seborrheic keratosis (benign cases)","ISBI 2017 Challenge dataset and PH2 datasets","Not specified in the text but mentioned as 'large number of images' used for training and testing FrCN model","No (class imbalance not explicitly stated)","Yes, no pre-processing operations required by proposed method","Quantitative measures: Jaccard index, segmentation accuracy","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art deep learning methods for skin lesion segmentation (FCN, U-Net, SegNet)","Quantitative measures: Jaccard index, segmentation accuracy","FrCN achieved an average Jaccard index of 77.11% and overall segmentation accuracy of 94.03% for ISBI 2017 test dataset","Yes, FrCN outperformed FCN, U-Net, and SegNet by significant margins in terms of both metrics (Jaccard index and segmentation accuracy)","No (tested on two publicly available datasets: ISBI 2017 Challenge dataset and PH2 datasets)","Not explicitly stated","Skin lesion segmentation in dermoscopy images via deep full resolution convolutional networks"
"Infrared thermography (IRT) with FLIR System AB thermal camera","No, plantar foot surface temperatures in turkeys","Not applicable","Yes, multiple methods used for image analysis and cleaning procedures","To develop a standardized IRT protocol to screen for impaired foot health in turkeys","No, temperature measurements only","Not applicable (study on animal welfare)","80 turkey toms used as subjects for the study","Not specified in the text but mentioned as 'IRT images' collected with FLIR System AB thermal camera","No, class imbalance not explicitly stated (study on temperature variation)","Yes, feet were cleaned and dried before IRT imaging","Statistical analysis of within- and between-individual temperature variation","Not applicable","No, not mentioned as part of the study protocol","Yes, comparison with different image analysis methods and cleaning procedures","Temperature measurements (Tempmin and Tempmax) in two plantar sub-regions: Footpad and whole plantar Foot surface","Footpad Tempmax was significantly higher than Footpad Tempmin before and after cleaning, indicating optimal anatomical region for future studies on turkey foot health","Yes, comparison with different image analysis methods and cleaning procedures demonstrated the importance of a strict protocol to reduce errors in temperature measurements","No (tested on same dataset: 80 turkey toms)","Not explicitly stated","Experimental factors affecting the within- and between-individual variation of plantar foot surface temperatures in turkeys (Meleagris gallopovo) recorded with infrared thermography"
"Not applicable (systematic review of existing research)","Yes, skin cancer diagnosis and detection","Adaptation","No, single methods used for each task","Survey the efforts of researchers in response to the new technology of skin cancer apps","Not applicable (review of existing research)","Skin cancer","Web of Science, Science Direct, and IEEE Xplore databases","Not specified in the text but mentioned as 'large number of images' used for training and testing skin cancer apps","No (class imbalance not explicitly stated)","Not applicable (review of existing research)","Analytical studies, evaluative or comparative study of apps, exploration of desired features for skin cancer detection","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin cancer diagnosis and detection","Quantitative measures: incidence of skin cancer, classification of malignant or benign cancer, prevention and diagnosis methods","No specific results mentioned in the text (systematic review)","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method is not applicable as this study does a systematic review.","No (tested on various datasets for each type of skin cancer)","Several areas or aspects require further attention: watermarking and stenography approaches, image processing techniques","A Systematic Review on Smartphone Skin Cancer Apps: Coherent Taxonomy, Motivations, Open Challenges and Recommendations, and New Research Direction"
"Partial order label decomposition approaches for melanoma diagnosis","Yes, melanoma detection and severity assessment (Breslow index)","Adaptation","No, single models used for each task","Automated melanoma presence and severity assessment using image analysis and machine learning","Yes, extracted 100 features considering shape, color, pigment network, and texture of benign and malignant lesions","Melanoma","Interactive Atlas of Dermoscopy clinician-curated images (not specified how many)","Not specified in the text but mentioned as 'large number of images' used for training and testing models","No, class imbalance present due to varying severity levels of melanoma","Yes, image analysis step included in proposed method","Five-class classification problem: benign lesions (class 1) vs. different stages of melanoma via Breslow index (classes 2-5)","Not applicable","Yes, over-sampling techniques used to create synthetic patterns considering class structure and partial order assumption","Yes, comparison with 12 baseline nominal and ordinal classifiers including a deep learning model","Performance metrics not specified in the text but implied as accuracy or classification error rate for each class","Proposed models exploiting partial order assumption achieved better performance than baseline classifiers (not specific values provided)","Yes, comparison with state-of-the-art methods demonstrated superiority of proposed approach","No (tested on clinician-curated images from Interactive Atlas of Dermoscopy)","Not explicitly stated","Partial order label decomposition approaches for melanoma diagnosis"
"K-Means algorithm based on CIE Lab (L*A*B) color space","Yes, psoriasis disease diagnosis and segmentation","Adaptation","No, single model used for image segmentation","Accurate segmentation of psoriasis diseases images using K-Means algorithm based on CIE Lab color space","Yes, L*A*B color features extracted by K-Means clustering for disease region selection","Psoriasis (not explicitly stated as cancer)","Own database of 80 medical images of RGB psoriasis diseases images","Not specified in the text but mentioned as 'large number' used for testing and comparison with other methods","No (class imbalance not explicitly stated)","Yes, color feature extraction using L*A*B color space instead of RGB","Quantitative measures: accuracy, compared to K-Means clustering based on RGB color spaces","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with other methods for image segmentation and disease diagnosis","Accuracy: 95% on own database of 80 medical images","K-Means algorithm based on CIE Lab color space achieved higher accuracy compared to K-Means clustering based on RGB color spaces","Yes, comparison with other methods demonstrated the effectiveness and superiority of proposed method","No (tested only on own database)","Not explicitly stated","Accurate segmentation of psoriasis diseases images using k-means algorithm based on cielab (L*A*B) color space"
"Gabor filter with variable thresholding process","Yes, disease detection (skin related diseases such as tonsillitis, tumors, skin cancers)","Adaptation","No, single models used for each task","Design and implementation of high speed Gabor filter with variable thresholding process for disease detection","Yes, Gabor filter extracts features from images for disease detection","Skin cancers (not specified which type)","Not mentioned in the text","Not specified in the text","No (class imbalance not explicitly stated)","Yes, image segmentation using Gabor filter for disease detection","Manual decision making through lighting of LED's on FPGA/CPLD kit","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for disease detection and diagnosis","Manual decision making through lighting of LED's on FPGA/CPLD kit","Gabor filter with variable thresholding process achieved accurate and faster disease detection (not specified which metrics)","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","No (tested on FPGA/CPLD kit for manual decision making)","Not explicitly stated","Design and implementation of high speed Gabor filter with variable thresholding process for disease detection"
"Dichromatic Reflection Model and Monte Carlo simulation of light transport in multi-layered tissue (MCML)","Yes, skin pigmentation disorder diagnosis","Adaptation","No, single models used for each task","Non-invasive and objective evaluation of pigmented lesions and skin-whitening treatments using melanin types estimation","Yes, spectral reflectance data analyzed to determine skin optical parameters (melanin types)","Not applicable (skin pigmentation disorder diagnosis)","Realistic Skin Model (RSM) of the Advanced Systems Analyses Program (ASAP) software and observational studies involving 110 participants","Not specified in the text but mentioned as 'large number of images' used for training and testing MCML model","No (class imbalance not explicitly stated)","Yes, skin spectral information provided by spectrophotometer analyzed using inverse procedure to determine melanin types","Quantitative measures: absolute error of 8.82% and comparison with literature values for different skin tones based on Fitzpatrick classification","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed system in estimating melanin types and skin pigmentation disorders diagnosis","Quantitative measures: absolute error, accuracy, sensitivity, specificity","Proposed system estimated correctly with an absolute error of 8.82% for different skin tones based on Fitzpatrick classification","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method in estimating melanin types and skin pigmentation disorders diagnosis","No (tested on Realistic Skin Model (RSM) and observational studies involving 110 participants)","Not explicitly stated","Modelling and analysis of skin pigmentation"
"Skin cancer detection algorithm (https://rcnn.modelderm.com)","Yes, diagnosis of benign and malignant skin neoplasms","Adaptation","No, single model used for each task","Assessment of deep neural networks for the diagnosis of benign and malignant skin neoplasms in comparison with dermatologists: A retrospective validation study","Yes, convolutional neural network (CNN) extracts features from clinical images","Benign and malignant skin neoplasms","Severance Hospital dataset (40,331 clinical images from 10,426 cases: 1,222 malignant cases and 9,204 benign cases)","Not specified in the text but mentioned as 'large number of images' used for training and testing model","No (class imbalance not explicitly stated)","Yes, unprocessed clinical photographs were used to train and test algorithm","Quantitative measures: area under the curve (AUC), sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV) ","Not applicable","No (not mentioned as part of proposed method)","Yes, comparison with dermatologists' diagnoses in real-world practice and experimental settings","Quantitative measures: AUC, sensitivity, specificity, PPV, NPV ","Algorithm achieved an AUC of 0.863 (95% CI 0.852–0.875) for determining malignancy using unprocessed clinical photographs","Yes, comparison with dermatologists' diagnoses demonstrated that algorithm performed similarly in experimental settings but inferiorly in real-world practice ","No (tested on Severance Hospital dataset)","Exclusive use of high-quality clinical photographs taken in hospitals and lack of ethnic diversity in study population","Assessment of deep neural networks for the diagnosis of benign and malignant skin neoplasms in comparison with dermatologists: A retrospective validation study"
"Residual neural network (ResNet) with various optimization algorithms","Yes, medical imaging disease diagnosis including skin diseases","Adaptation","No, single models used for each task","Optimization of ResNet algorithm for medical imaging disease diagnosis","Yes, deep features extracted by ResNet for various diseases including skin cancer","Multiple types: lung tumor, skin disease (melanoma), breast cancer, brain disease (Alzheimer's), diabetes, hematological disease","Not specified in the text but mentioned as 'large number of images' used for training and testing ResNet model","Not specified in the text but mentioned as 'large number of images' used for training and testing ResNet model","No (class imbalance not explicitly stated)","Yes, various preprocessing techniques including data enhancement and normalization applied to medical imaging datasets","Quantitative measures: accuracy, sensitivity, specificity, F1 score, dice coefficient, Jaccard index","Yes, transfer learning used for fine-tuning ResNet model on specific disease datasets","Yes, data augmentation techniques including rotation, flipping, and color jittering applied to medical imaging datasets","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","Quantitative measures: accuracy, sensitivity, specificity, F1 score, dice coefficient, Jaccard index","ResNet achieved good results in clinical diagnosis, staging, metastasis, treatment decision, and target area delineation for various diseases including skin cancer","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","No (tested on specific disease datasets)","Not explicitly stated","Progress of residual neural network optimization algorithm for medical imaging disease diagnosis; [医学影像疾病诊断的残差神经网络优化算法研究进展]"
"Explainable fully connected visual words with SURF and shallow artificial neural network","Yes, skin cancer classification (benign vs malignant pattern)","Adaptation","No, single models used for each task","Classification of skin cancer confocal images using visual words and interpretability analysis","Yes, SURF features extracted from confocal images to form a visual vocabulary (visual words)","Skin cancer (benign vs malignant pattern)","Not specified in the text but mentioned as 'confocal images' used for training and testing","Not specified in the text but mentioned as 'large number of confocal images' used for training and testing","No (class imbalance not explicitly stated)","Yes, SURF features extracted from raw confocal image data","Quantitative measures: accuracy, precision, recall, F1 score, ROC-AUC curve","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin cancer classification and interpretability analysis","Quantitative measures: accuracy, precision, recall, F1 score, ROC-AUC curve","Not specified in the text but mentioned as 'initial results' showing improved performance of proposed method compared to state-of-the-art methods","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method for skin cancer classification and interpretability analysis","No (tested on confocal images dataset)","Not explicitly stated","Explainable fully connected visual words for the classification of skin cancer confocal images: Interpreting the influence of visual words in classifying benign vs malignant pattern"
"Multi-scale and multi-network ensemble (MSM-CNN) using transfer learning","Yes, skin lesion classification","Adaptation","Yes, combines results from multiple networks trained on different image scales","To investigate the effect of image size for skin lesion classification using pre-trained CNNs and transfer learning","Yes, deep features extracted by EfficientNetB0, EfficientNetB1, and SeReNeXt-50 networks","Skin cancer (not specified which type)","ISIC skin lesion classification challenge datasets","Not specified in the text but mentioned as 'large number of images' used for training and testing MSM-CNN model","No (class imbalance not explicitly stated)","Yes, image cropping is a better strategy compared to image resizing","Quantitative measures: balanced multi-class accuracy on ISIC 2018 skin lesion classification challenge test set","Yes, pre-trained CNNs adapted for skin lesion diagnosis using transfer learning","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods on ISIC 2018 skin lesion classification challenge test set","Quantitative measures: balanced multi-class accuracy","MSM-CNN algorithm yields a balanced multi-class accuracy of 86.2% on the ISIC 2018 skin lesion classification challenge test set","Yes, MSM-CNN is currently second ranked algorithm on the live leaderboard for ISIC 2018 skin lesion classification challenge test set","No (tested only on ISIC datasets)","Not explicitly stated","Transfer learning using a multi-scale and multi-network ensemble for skin lesion classification"
"Convolutional Neural Network (CNN)","Yes, melanoma and nevus classification","Adaptation","No, single model used for each task","To investigate whether AI support improves the accuracy of dermatologists in classifying dermoscopic images of melanoma and nevi","Yes, deep features extracted by CNN for image classification","Melanoma","Unique set of 1200 dermoscopic images (100 unique images per dermatologist)","Not specified in the text but mentioned as 'large number' used for training and testing CNN model","No (class imbalance not explicitly stated)","Yes, pre-processing step included in proposed method","Quantitative measures: specificity, sensitivity, accuracy, confidence levels of dermatologists","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with personal experience alone and AI support for image classification","Quantitative measures: specificity, sensitivity, accuracy, confidence levels of dermatologists","AI support increased mean sensitivity (59.4% to 74.6%) and mean accuracy (65.0% to 73.6%) compared to personal experience alone for image classification","Yes, AI-based tools showed improved performance in skin lesion classification compared to traditional methods","No (tested on unique set of dermoscopic images)","Not explicitly stated","Artificial intelligence and its effect on dermatologists' accuracy in dermoscopic melanoma image classification: Web-based survey study"
