"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Fractional Fourier and Hermite transform","Yes","New","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Confidence level (99.7%)","99.7% confidence level for discrimination between malignant melanoma and benign skin lesions","Yes","No","","Spectral indexes obtained by implementation of the fractional Fourier and Hermite transform for the diagnosis of malignant melanoma"
"Hyperspectral imaging system","Yes","New","No","Classification","Not informed","Various","Preliminary database of 49 HS images from 36 patients","49","No","Cold light halogen illumination device","Supervised machine learning method optimized by genetic algorithm","Not informed","Not informed","Yes (Random Forest, Support Vector Machines)","Accuracy and rapidity","Potential for accurate assistance in skin cancer diagnosis task during clinical routine practice","No","Not informed","Preliminary experiments, potential of the system to be further explored","Dermatologic Hyperspectral Imaging System for Skin Cancer Diagnosis Assistance"
"Bag Tree Ensemble Classifier","Yes","Adaptation","No","Classification","Yes","Melanoma","PH2, ISBI2016, and ISIC2017 datasets","Not informed","Undersampled and oversampled datasets","Yes (hair artifacts removal)","Benchmarking datasets: PH2 dataset, ISBI2016 dataset, and ISIC2017 dataset","Not informed","Not informed","No","Sensitivity and specificity","Statistically better performance on oversampled dataset compared to original imbalanced dataset","Yes (compared with original imbalanced dataset)","Yes (PH2, ISBI2016, and ISIC2017 datasets)","Class imbalance in the dataset","Melanoma Classification on Dermoscopy Skin Images using Bag Tree Ensemble Classifier"
"Ant Colony Optimization (ACO)","Yes","Adaptation","No","Edge detection","Not informed","Melanoma / Various","ISIC2018 datasets","32 images","Not informed","Yes (color space conversion, contrast enhancement, filtering)","Entropy analysis of final image obtained by conventional and proposed techniques","No","Not informed","Canny, Sobel, Prewitt edge detection methods","Entropy","Improved efficiency of conventional edge detection method in skin lesion images","Yes (compared with Canny, Sobel, and Prewitt edge detection methods)","No","Not informed","Improved skin lesion edge detection method using Ant Colony Optimization"
"Not informed","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","41","Not informed","0","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","No","No","Overcoming challenges in acquisition, pre-processing, segmentation, feature extraction and selection","Machine Learning Techniques for Automated Melanoma Detection"
"Biological resonance theory and frequency analysis","Yes","New","No","Classification","Yes","Various","Not informed","400 patients from CRED","Not informed","No","Not informed","Not informed","Not informed","Yes","AUC, Sensitivity, Specificity","0.959 AUC, 93.8% sensitivity and 97.3% specificity","No","No","Not informed","Early diagnosis of skin cancer by ultrasound frequency analysis"
"Improved Particle Swarm Optimization and Deep Learning Models","Yes","Adaptation","No","Classification","Yes","Various","Dermoscopic skin lesion data, UCI machine learning repository, ALL-IDB2 image data","Not informed","Not informed","Yes (Grey Level Run Length Matrix, Local Binary Patterns, Histogram of Oriented Gradients)","Empirical evaluations and statistical tests","No","Not informed","Yes","Discriminative feature selection, optimal hyper-parameter identification for deep learning networks in lesion classification","Superiority over other advanced PSO variants and classical search methods","Yes","No","Not informed","Intelligent skin cancer diagnosis using improved particle swarm optimization and deep learning models"
"Yolo algorithms (V1, V2, and V3)","Yes","New","No","Detection","Not informed","Melanoma","200 images (training set)","72","Not informed","Yes","mAP > 0.82","Not informed","Not informed","No","Mean Average Precision (mAP)","> 0.82 mAP","Yes","No","Not informed","Automatic detection of melanoma with yolo deep convolutional neural networks"
"Ensemble of canonical and deep classifiers","Yes","Adaptation","No","Classification","Not informed","Melanoma","Clinical image dataset","7 images","Not informed","Yes (warping)","Not informed","No","Warping, other techniques not specified","Yes","Performance comparable to the state of the art (no specific metrics mentioned)","Comparable performance with state-of-the-art methods","Yes","No","Not informed","Deep learning for actinic keratosis classification"
"Multiple Instance Learning (MIL) algorithm","Yes","New","No","Classification","Not informed","Melanoma and dysplastic nevi","Not informed","28 images","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Promising results, but not specified","Yes","No","Similarity of melanoma with other skin lesions","Dangerousness of dysplastic nevi: A Multiple Instance Learning Solution for Early Diagnosis"
"Transfer learning based method for two-step skin cancer images classification","Yes","Adaptation","No","Classification","Not informed","Various","HAM10000 dataset","10,000 images","Not informed","Not informed","Not informed","Yes","Not informed","No","Accuracy (85% and 75%)","85%","No","Yes","Not informed","Transfer learning based method for two-step skin cancer images classification"
"Not informed","Yes","Not informed","No","Classification","Not informed","Various","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","Not informed","Can skin cancer diagnosis be transformed by AI?"
"Weakly Supervised Vitiligo Segmentation in Skin Image through Saliency Propagation","Yes","New","No","Segmentation","Not informed","Melanoma","Vit2019 (Proposed)","17","Yes","Not informed","Not informed","No","Not informed","Yes","Accuracy, Dice coefficient, IoU","Superiority over state-of-the-arts (not specified)","Yes","No","Not informed","Weakly Supervised Vitiligo Segmentation in Skin Image through Saliency Propagation"
"Convolutional Neural Network (CNN)","Yes","New","No","Classification","Yes","Melanoma","Not informed","5 images used for training, Not specified in the abstract how many were tested.","Not informed","Natural hair removal and image segmentation to extract skin lesion area","Keras and TensorFlow with CUDA supported","No","Not mentioned in the abstract.","Yes, compared against other architectures using convolutional neural networks.","Classification accuracy of 76.83%","76.83% Accuracy on test set","No information about comparison with state-of-the-art methods is provided in the abstract.","Not mentioned, only tested on a single dataset (ISIC2018).","None specified","Pigmented skin lesions classification using convolutional neural networks"
"Very Deep Residual Networks","Yes","New","No","Classification","Not informed","Melanoma","Not informed","21","Not informed","Yes","Not informed","No","Not informed","No","PSNR ratio and histogram","Not informed","Yes","No","Non-invasive method, contrast and variation of melanoma in skin","Automated Melanoma Recognition in Dermoscopy Images via Very Deep Residual Networks"
"Multi-CNN fusion model based on MCC","Yes","Adaptation","No","Classification","Not informed","Various (Basal cell carcinoma and seborrheic keratosis)","Established basal cell carcinoma and seborrheic keratosis datasets","Not informed","Not informed","Not informed","Not informed","Yes (ResNet, Xception, and DensNet)","Not informed","Yes (CNN single-model method and traditional multi-model fusion method)","Accuracy","97.07%","No","No","Not informed","Skin Disease Recognition Method Based on Multi-Model Fusion of Convolutional Neural Network; [多卷积神经网络模型融合的皮肤病识别方法]"
"Learning Vector Quantization","Yes","New","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Grey-scaling and median filtering","Not informed","Not informed","Not informed","No","Accuracy (83.33%)","83.33% Accuracy","No","No","","Identification of Melanoma through Dermoscopy Image using Learning Vector Quantization"
"ResNet-101","Yes","Adaptation","No","Classification","Not informed","Melanoma","TiVi camera images of burn depth injured in first few days, including normal skin and background","10-fold cross-validation results obtained from ResNet-101 with an average accuracy are 81.66%","Not informed","Not informed","10-fold cross-validation","Yes (pretrained deep CNNs)","No","Clinical diagnosis obtained after the wound had healed","Accuracy, Sensitivity and Specificity","81.66% Accuracy","Yes (compared with clinical diagnosis)","No","Not informed","Time-Independent Prediction of Burn Depth Using Deep Convolutional Neural Networks"
"Gabor wavelet-based deep convolutional neural network","Yes","New","No","Classification","Not informed","Melanoma and Seborrheic Keratosis","Not informed","104","Not informed","Yes (Gabor wavelet-based)","Not informed","No","Not informed","Yes","Not informed","Not informed","Yes","No","None mentioned","Gabor wavelet-based deep learning for skin lesion classification"
"Multidimensional Convolutional Neural Network","Yes","New","No","Classification","Yes","Not informed","Varicose ulcer wound image dataset","32","Not informed","Flash light removal, Active contour segmentation","Not informed","Not informed","Not informed","No","Average accuracy (99.55%), specificity (98.06%) and sensitivity (95.66%)","99.55%","Yes","Not informed","","Varicose ulcer(C6) wound image tissue classification using multidimensional convolutional neural networks"
"Integrated classification and retrieval based Decision Support System (DSS)","Yes","Adaptation","Yes","Classification","Yes","Various","Not informed","1300","No","Not informed","Test data set","Yes","Not informed","Yes","Accuracy (85%)","85% Accuracy","No","No","","Deep Learning Based Integrated Classification and Image Retrieval System for Early Skin Cancer Detection"
"Deep depthwise separable residual convolutional network","Yes","New","No","Classification","Yes","Melanoma","ISIC, PH2, DermIS, MED-NODE datasets","Not informed","Not informed","Yes (non-local means filter and contrast-limited adaptive histogram equilisation over discrete wavelet transform algorithm)","Not informed","Not informed","Not informed","No","Accuracy (ACC)","99.50% ACC on ISIC dataset, 96.77% ACC on PH2 dataset, 94.44% ACC on DermIS dataset, and 95.23% ACC on MED-NODE dataset","Yes","No","Not informed","Diagnosis of melanoma from dermoscopic images using a deep depthwise separable residual convolutional network"
"Hybrid Cross Entropy Thresholding using Gaussian and Gamma Distributions","Yes","New","No","Segmentation","Not informed","Melanoma","PH2 and ISIC 2017","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy (75%)","75% Accuracy","No","No","None mentioned","HCET-G2: Dermoscopic Skin Lesion Segmentation via Hybrid Cross Entropy Thresholding using Gaussian and Gamma Distributions"
"Convolutional Neural Network (CNN)","Yes","Adaptation","No","Classification","Not informed","Various","MNIST HAM10000 dataset","10,015 images","No (7 classes of skin diseases)","Not informed","Pre-trained CNN models and web-classifier","Yes (pre-trained CNN models)","Not informed","No","Accuracy","72% Accuracy using Inception V3 model","Yes, compared to MobileNet v1 (58%) and web-classifier with CNN models","No","Not informed","Disease Classification based on Dermoscopic Skin Images Using Convolutional Neural Network in Teledermatology System"
"U-Net algorithm with Convolutional Neural Network and VGG16 Net","Yes","New","No","Segmentation and Classification","Yes","Melanoma","ISBI 2016 Skin Lesion Analysis towards Melanoma Detection Challenge dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy, Sensitivity and Specificity","83.18% Accuracy, 95.53% Sensitivity and 96.22% Specificity","No","Yes","Not informed","Melanoma segmentation and classification using deep learning"
"Artificial Neural Network (ANN)","Yes","New","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy (99.8%, 98.3%, 96.7%, and 95%)","99.8% Accuracy with Multilayer Perceptron (MLP)","No","No","Not informed","Artificial neural network based diagnostic system for melanoma skin cancer; [Melanom cilt kanseri için yapay sinir aǧi tabanli tani sistemi]"
"Not informed","Yes","Adaptation","No","Segmentation","Not informed","Melanoma","Not informed","Not informed","Not informed","Saturation thresholding, Active contours","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","Not informed","Automated segmentation of pigmented skin lesions images for smartphone applications"
"CNN with GAN","Yes","New","No","Classification","Not informed","Various","ISIC","97","Yes","Not informed","Not informed","No","GAN","Yes","Accuracy","71%","Yes","Not informed","","Generating Synthetic Medical Images by Using GAN to Improve CNN Performance in Skin Cancer Classification"
"Gamma distribution with different parameter shapes","Yes","Adaptation","No","Segmentation","Not informed","Various","ISIC2018 datasets","2","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Performance measures (not specified)","Better results than existing techniques","No","No","Assumes that the shape of each mode in the histogram is constant","Bimodal Skin Cancer Image Segmentation Based on Different Parameter Shapes of Gamma Distribution"
"Convolutional Neural Networks","Yes","New","No","Classification","Not informed","Various","MNIST:HAM10000 dataset","10,000 images","Not informed","Not informed","Experiment conducted using the MNIST:HAM10000 dataset","Not informed","Not informed","No","Accuracy and performance for image classification problems","36 (accuracy)","Yes","No","Not informed","Convolutional Neural Networks for classifying skin lesions"
"","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","","Features for melanoma lesions: Extraction and classification"
"Ensemble of Convolutional Neural Networks","Yes","Adaptation","No","Classification","Not informed","Various (7 categories)","Not informed","1440","Not informed","Yes (hair removal, image resizing, and augmentation)","Not informed","Not informed","Yes (image augmentation)","No","Accuracy","91.7% Accuracy","No","Not informed","Not informed","Ensembles of Convolutional Neural Networks for Skin Lesion Dermoscopy Images Classification"
"Not informed","Yes","Not informed","No","Classification","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","","Diagnosis methods of skin lesions in dermoscopic images: A survey"
"46-layered U-Net architecture","Yes","Adaptation","No","Segmentation","Not informed","Melanoma","U-Net 32 and U-Net 46 architectures were tested on two different datasets, but the name of the dataset is not specified.","22 images used for testing","Not informed","Yes (image enhancement, linear filtering, image restoration)","Two-stage process: first stage uses image processing techniques to remove artifacts and the second stage is a modified U-Net architecture.","No","Not informed","Yes (U-Net 32 was compared with U-Net 46)","Dice-coefficient and Jaccard index","Successful lesion segmentation rate achieved using the proposed modified U-Net architecture.","No specific comparison to state-of-the-art methods is mentioned in the abstract, but it can be inferred that this paper proposes a new method for skin lesion segmentation and does not directly compare its results with existing literature.","Yes (two different U-Net architectures were tested on two datasets)","Not informed","Skin lesion segmentation by using deep learning techniques"
"RethNet","Yes","New","No","Segmentation","Not informed","Various (11 types of facial skin lesions)","Prepared dataset","Not informed","Not informed","Not informed","Test set with MIoU metric","Not informed","Not informed","Yes (Deeplab v3+)","MIoU","79.46%","Yes","No","Not informed","RethNet: Object-by-object learning for detecting facial skin problems"
"Gradient magnitude and foreground object marking","Yes","New","No","Segmentation","Yes","Melanoma","European dataset of dermoscopic images","Not informed","Not informed","Gradient magnitude calculation and foreground object marking","Comparison with other competitors","No","Not informed","Yes","Segmentation results comparison","Superiority of the proposed approach compared to others","Yes","No","Not informed","Melanoma segmentation using bio-medical image analysis for smarter mobile healthcare"
"Content based image classification using bit plane features","Yes","New","No","Classification","Yes","Melanoma","Not informed","0","Not informed","Binarization and Bit Plane extraction","Three different classifiers for specificity and sensitivity outputs","No","Not informed","Yes","Specificity, Sensitivity","Outclassed the performance of state-of-the-art feature extraction techniques","Yes","No","Not informed","Melanoma identification with content based image classification using bit plane features"
"U-Net","Yes","New","No","Segmentation","Not informed","Melanoma","Abdominal dataset (1,400 images)","1400","Yes","Thresholding and deep learning techniques","Cross-validation","Not informed","Not informed","Yes (thresholding, fully connected neural network, Mask-RCNN)","Pixel-to-pixel mean cross-validation accuracy","95.51%","No specific comparison to state-of-the-art methods mentioned in the abstract.","Yes (Abdominal dataset)","Not informed","Adaptation and evaluation of deep learning techniques for skin segmentation on novel abdominal dataset"
"Multiple machine learning classifiers","Yes","Adaptation","No","Classification","Yes","Melanoma","Dermoscopic image database","Not informed","Not informed","Yes","Training and testing in different program environments","Not informed","Not informed","No","Accuracy (97%)","97% Accuracy","Yes","No","","Detection of melanoma with multiple machine learning classifiers in dermoscopy images; [Dermoskopik görüntülerdeki melanomun çoklu makine öǧrenmesi siniflandiricilari ile tespiti]"
"Multilayer Perceptron","Yes","New","No","Classification","Yes","Various","Not informed","Not informed","Not informed","GLCM and Pre-processing","Not informed","Not informed","Not informed","Yes","Accuracy (98%)","98% Accuracy","No","No","","An automatic classification of dermoscopy image with multilayer perceptron using weka"
"Optimum-path forest classifier","Yes","Adaptation","No","Classification","Yes","Various","Not informed","1104","Not informed","Not informed","Cross-validation procedure","Not informed","Not informed","Yes","Accuracy, Sensitivity, Specificity","92.3% Accuracy, 87.5% Sensitivity, 97.1% Specificity","Not informed","No","","Computational diagnosis of skin lesions from dermoscopic images using combined features"
"Bi-directional ConvLSTM U-net with densely connected convolutions","Yes","New","No","Segmentation","Not informed","Various","Retinal blood vessel, skin lesion, lung nodule segmentation datasets","392 images","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","State-of-the-art performance on three datasets","Achieved state-of-the-art performance on retinal blood vessel, skin lesion, and lung nodule segmentation tasks","Yes","No","Not informed","Bi-directional ConvLSTM U-net with densley connected convolutions"
"Not informed","Yes","Not informed","No","Classification","Yes","Melanoma / Various","ISIC2018 datasets","89 FPS (frames per second)","Not informed","GGP and PFD modules for coarse predictions and progressive refinement","Not informed","No","Not informed","Yes","Accuracy, Performance on ISIC2018 datasets","89 FPS (frames per second)","Yes","No","Applicable mostly for adults","Non-Invasive Bilirubin Level Quantification and Jaundice Detection by Sclera Image Processing"
"Harris Corner Detection and Region Growing","Yes","New","No","Segmentation","Not informed","Various","Not informed","6","Not informed","Yes","Not informed","No","Not informed","No","Accuracy (95%)","95%","No","No","","Segmentation of Skin Lesion Using Harris Corner Detection and Region Growing"
"Dense-Residual Network with Adversarial Learning","Yes","New","No","Segmentation","Not informed","Various","ISBI2017","Not informed","Yes","Not informed","Multi-scale objective loss function, End Point Error and Jaccard distance content loss function","No","Not informed","Yes","Jaccard distance and End Point Error","Superior to other state-of-the-art algorithms on the ISBI2017","Yes","No","Not informed","Segmentation of Lesion in Dermoscopy Images Using Dense-Residual Network with Adversarial Learning"
"Convolutional Neural Network (CNN) architecture Xception","Yes","Adaptation","No","Classification","Yes","Melanoma and other skin cancers","Not informed","Not informed","Not informed","Prior images segmentation","Not informed","Yes (pre-trained neural network Xception)","Not informed","No","Accuracy","89% accuracy","No","No","","AI Recognition in Skin Pathologies Detection"
"Cascaded design incorporating three fundamental steps","Yes","Adaptation","No","Classification","Yes","Various","PH2 and ISIC 2017 datasets","Not informed","Not informed","Fast local Laplacian filtering (FlLpF) along HSV color transformation","Tested on PH2, ISBI 2016, and ISBI 2017 datasets","Yes using Inception V3 model","Not informed","No","Accuracy (98.4% on PH2 dataset)","98.4%","Yes outperforms several existing methods","Yes tested on different datasets","Not informed","Region Extraction and Classification of Skin Cancer: A Heterogeneous framework of Deep CNN Features Fusion and Reduction"
"Class Centroid Based Convolutional Neural Network","Yes","New","No","Classification","Not informed","Various","Not informed","1","Not informed","Not informed","Cross entropy loss function","Yes (Fine-Tuned classification network)","Not informed","No","Not informed","Comparable to the classification network which optimized with cross entropy loss function","Yes (compared to previous studies)","No","The visualization of principal components indicates that regression network generated different pattern compared to the classification network","Class Centroid Based Convolutional Neural Network for Skin Cancer Detection"
"Combination of YOLO and GrabCut algorithm","Yes","Adaptation","Yes","Segmentation","No","Melanoma","PH2 and ISBI 2017 datasets","245","Not informed","Yes (hairs removal)","Two publicly well-known datasets: PH2 and ISBI 2017 dataset","No","Not informed","Yes","Sensitivity rate, accuracy, specificity, Dice coefficient, Jaccard index","90% sensitivity rate on the ISBI 2017 dataset","Outperformed other deep learning-based methods in terms of metrics","Yes (PH2 and ISBI 2017 datasets)","Not informed","Skin lesion segmentation in dermoscopic images with combination of yolo and grabcut algorithm"
"Enhanced High-Level Parsing and Class Weighted Loss","Yes","New","No","Segmentation","Not informed","Melanoma","ISBI 2017 database","11 images","No","Not informed","Not informed","Not informed","Not informed","Yes","Prediction performance","New state-of-the-art prediction performance","Yes","No","Not informed","Dermoscopic Image Segmentation Through the Enhanced High-Level Parsing and Class Weighted Loss"
"Fuzzy-like classification method","Yes","Adaptation","No","Classification","Yes","Not informed","ISIC2018 datasets (not specified)","5 representative photographs as a “training set”","No information available","Color adaptation technique","Not informed","Not informed","Not informed","Yes (with other methods)","Accuracy (85.3% to 97.7%)","97.7%","No information available","Not informed","Limited number of training photographs, accuracy can be improved with more factors considered","Skin disorder diagnosis with ambiguity reduction assisted by lesion color adaptation"
"Convolutional Neural Networks (CNNs)","Yes","New","No","Classification","Not informed","Various","ISIC2018 datasets","18 images","Not informed","Not informed","Simulated static environment","Not informed","Not informed","Yes (performed as well or better than human raters)","Accuracy and performance metrics not specified","Not specified in the abstract","No specific comparison to state-of-the-art methods mentioned","Yes (ISIC2018 datasets)","Need for large data pipelines and ground truth diagnoses, lack of metadata, and lack of rigorous widely accepted standards","Artificial Intelligence in Skin Cancer"
"Not informed","No","Not informed","Yes","Segmentation","Yes","Melanoma","ISIC2018 datasets","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy, FPS (89)","Great performance on ISIC2018 datasets","No","No","Not informed","Mammogram segmentation methods: A brief review"
"Extended-Incremental Convolutional Neural Network","Yes","Adaptation","No","Classification","Not informed","Various","ISIC2018 test dataset","4","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy",">95% Accuracy","Yes","No","","Classification of Skin Lesions by using Extended-Incremental Convolutional Neural Network"
