"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Deep Convolutional Neural Network (CNN) with Transfer Learning","Yes","Adaptation","No","Diagnosis","MobileNet architecture with transfer learning","Various types of skin cancers","Not informed","3","Not informed","Yes (Data augmentation and normalization)","F1-score (0.83)","Yes","Yes","No","F1-score, accuracy, precision, recall","State-of-the-art result with f1-score of 0.83","No","No","","The application of deep learning on fast skin cancer diagnosis"
"Multiple Random Walker (MRW) approach and Convolutional Neural Networks (CNNs)","Yes","Adaptation","Yes (MRW-based system and CNN architectures: SegNet, U-Net, DeconvNet)","Segmentation","Deep learning approaches for segmentation of dermoscopy images","Melanoma","Not informed (limited training set and large training set scenarios)","10","Not informed","No","Comparison of MRW-based system and CNN architectures on delineating melanoma","Yes (CNNs: SegNet, U-Net, DeconvNet)","Not informed","Yes","Segmentation performance of MRW-based system and CNN architectures","MRW-based segmentation approach is a promising selection when training set images are limited, while CNN architectures are decent choice in the presence of large training set.","Yes (state-of-the-art Convolutional Neural Networks)","No","","Medical image learning from a few/few training samples: Melanoma segmentation study"
"Modified Inception-v4","Yes","Adaptation","No","Classification","Inception-v4 with feature reuse using long residual connection","Various types of skin cancer","HAM10000 dataset","40","No (imbalanced)","Yes (data sampling to mitigate data imbalance effect)","Official benchmark for ISIC 2018 with an accuracy of 94.7%","No","Not informed","Yes","Accuracy (94.7%)","Highest accuracy achieved on ISIC 2018 benchmark with an accuracy of 94.7%","No","No","","A modified inception-v4 for imbalanced skin cancer classification dataset"
"Convolution Neural Network (CNN)","Yes","Adaptation","No","Classification","Basic architecture of CNN model","Basal Cell Carcinoma (BCC), Melanoma, Nevus, Seborrheic Keratosis (SK), Squamous Cell Carcinoma (SCC)","Not informed","6","No","No","Training Accuracy, Validation Accuracy for SCC Vs SK, BCC Vs SK, Melanoma Vs Nevus and Melanoma Vs SK (0.9741, 0.9867, 0.9506, 0.9734)","No","Not informed","Yes","Accuracy for SCC Vs SK, BCC Vs SK, Melanoma Vs Nevus and Melanoma Vs SK","Highest accuracy of 0.9867 for BCC Vs SK classification after 25 epochs","No","No","","Skin lesion classification using convolution neural networks"
"Convolutional Neural Network (CNN) with Transfer Learning","Yes","Adaptation","Yes (Transfer learning)","Classification","VGG-16","Melanoma and other skin cancers","ISIC dataset","18","Not informed","No","Accuracy (11% increase with transfer learning)","Yes","Not informed","Yes","Accuracy, Precision, Recall and F1-score","Highest accuracy of 11% increase with transfer learning compared to using only CNN","No","No","","Convolutional neural network based skin lesion analysis for classifying melanoma"
"Single Shot Detector (SSD) and Level Set Segmentation Technique","Yes","Adaptation","No","Segmentation","Deep convolutional neural network named as Single-Shot Detection (SSD) network and Level Set algorithm","Melanoma","ISBI 2016 challenge dataset (Skin Lesion Analysis Towards Melanoma Detection Challenge Dataset)","6","Not informed","Yes (Morphological operations to remove hair)","Jc, Di and Ac metrics (0.82, 0.901, 0.90 respectively) on ISIC 2016 dataset","No","Not informed","Yes","Jc, Di and Ac metrics (Dice coefficient, Jaccard index, Accuracy)","Average of Jc, Di and Ac as 0.82, 0.901 and 0.90 respectively on ISIC 2016 dataset","Yes","No","","Segmenting melanoma Lesion using Single Shot Detector (SSD) and Level Set Segmentation Technique"
"DermoNet: densely linked convolutional neural network","Yes","New","No (densely connected convolutional blocks and skip connections)","Segmentation","Deep fully convolutional neural networks with densely linked convolutional blocks and skip connections","Skin lesions","ISBI 2016, ISBI 2017, PH2 datasets (43 images)","43","Not informed","No","Quantitative evaluation on three public benchmark datasets with metrics not specified","No","Not informed","Yes (state-of-the-art algorithms)","Metrics not specified, but outperforms state-of-the-art on three benchmark datasets","Outperformed state-of-the-art methods on ISBI 2016, ISBI 2017 and PH2 datasets","Yes","No","","DermoNet: densely linked convolutional neural network for efficient skin lesion segmentation"
"Probabilistic Neural Network (PNN)","Yes","Adaptation","No","Classification","GLCM Feature Extraction algorithm, Active shape segmentation and texture segmentation techniques","Melanoma","Not informed","8","No","Yes (Median filters for filtration of the image)","Probabilistic Neural Network classifier","No","Not informed","No","Classification accuracy","Not specified","No","No","","Detection of Skin Cancer Lesions from Digital Images with Image Processing Techniques"
"Kernel Sparse Representation based Model","Yes","New","No","Segmentation and Classification","Discriminative kernel sparse coding with adaptive K-SVD algorithm for dictionary learning","Melanoma","Dermoscopic and digital datasets (49 images)","Not informed","No","No pre-processing needed","State-of-the-art methods comparison on dermoscopic and digital datasets","No","Not informed","Yes (state-of-the-art methods)","Segmentation accuracy, classification performance (not specified)","Competitive results with state-of-the-art methods on both segmentation and classification tasks","Yes","No","","Kernel sparse representation based model for skin lesions segmentation and classification"
"Improved SSD (Single Shot MultiBox Detector) with ResNet18 backbone","No","Adaptation","Yes (SSD and ResNet18)","Classification and Detection","ResNet18 backbone with SSD architecture","Not applicable","2,500 images of various citrus species","39 (testing set)","No","Yes (image resolution optimization and anchor generation using K-means clustering algorithm)","mAP (mean average precision) as the precision index, mean detection time as the speed index","No","Not informed","Yes (MobileNetV3, ESPNetV2, VoVNet39)","mAP, AP for normal, skin lesion and mechanical damage detection","87.89% mAP accuracy with a mean detecting time of 20.72 ms","Yes (original SSD model)","No","","Real-time classification and detection of citrus based on improved single short multibox detecter; [基于改进SSD的柑橘实时分类检测]"
"Multi-tree Genetic Programming (GP)","Yes","New","Yes (Multiple feature construction using wavelet-based texture features, Local Binary Pattern, lesion color variation, and geometrical border shape features)","Classification","Wavelet-based texture features from multiple color channels, Local Binary Pattern, lesion color variation, and geometrical border shape features","Melanoma and other skin cancers (10 different classes)","Two skin image datasets (not specified)","13","Not informed","No","Comparison with existing multi-tree GP method, single-tree GP methods, and six commonly used classification algorithms","No","Not informed","Yes (Existing multi-tree GP method, ten single-tree GP methods, and six commonly used classification algorithms)","Accuracy (not specified)","Significantly outperformed all compared classification methods","No","Yes","","Genetic Programming for Multiple Feature Construction in Skin Cancer Image Classification"
"Dragonfly Optimization based Deep Neural Network","Yes","Adaptation","No","Classification","GLCM feature extraction","Various skin diseases","Not informed","15","Not informed","Yes (Enhanced level set approach-based segmentation)","Accuracy, Sensitivity, Specificity (not specified)","No","Not informed","Yes (SVM and ANN methods)","Accuracy, Sensitivity, Specificity","Efficient skin disease identification approach with improved performance metrics","No","No","","An Enhanced Model for Skin Disease Detection using Dragonfly Optimization based Deep Neural Network"
"Fractional Fourier and Hermite transform","Yes","Adaptation","No","Classification","Spectral indexes based on fractional nonlinear filter obtained by affecting the modulus of the fractional Fourier transform and Hermite transform","Malignant melanoma","Not informed","4","No","Yes (Selected sub-images obtained by dividing the input image)","99.7% confidence level","No","Not informed","Yes","Spectral indexes (not specified)","Discrimination between malignant melanoma and benign skin lesions with a 99.7% confidence level","No","No","","Spectral indexes obtained by implementation of the fractional Fourier and Hermite transform for the diagnosis of malignant melanoma"
"Dermatologic Hyperspectral Imaging System","Yes","Adaptation","No","Assistance in skin cancer diagnosis","Hyperspectral imaging (125 spectral bands, VNIR region)","Pigmented skin lesions and skin cancers","49 HS images of PSLs from 36 patients","24","Not informed","No","Supervised machine learning method (Random Forest, Support Vector Machines) optimized by genetic algorithm","No","Not informed","Yes","Accuracy and speed of image capture (<1 second)","Rapid and accurate assistance in skin cancer diagnosis task during clinical routine practice (not specified)","No","No","","Dermatologic Hyperspectral Imaging System for Skin Cancer Diagnosis Assistance"
"Bag Tree Ensemble Classifier","Yes","Adaptation","No","Classification","ABCD (Asymmetry, Border, Color, Differential Texture) dermatology rules using shape, edge, colored and textural features","Melanoma","PH2 dataset, ISBI2016 dataset, ISIC2017 dataset","11","Yes (oversampled dataset)","Yes (removal of hair artifacts using texture filter-based segmentation method)","Benchmarking datasets: PH2 dataset, ISBI2016 dataset and ISIC2017 dataset","No","Not informed","Yes (original imbalanced dataset vs. balancing datasets)","Sensitivity and Specificity","High sensitivity and specificity on oversampled dataset with bag tree ensemble classifier, leading to statistically better performance compared to original imbalanced dataset.","No","Yes (PH2 dataset, ISBI2016 dataset, ISIC2017 dataset)","","Melanoma Classification on Dermoscopy Skin Images using Bag Tree Ensemble Classifier"
"Ant Colony Optimization (ACO) for edge detection","Yes","Adaptation","No","Edge Detection","Conventional edge detection methods (Canny, Sobel, Prewitt) + ACO","Skin lesions","Not informed","32","Not informed","Yes (3-stage preprocessing methodology)","Entropy analysis of final image obtained by conventional and proposed techniques","No","Not informed","Yes","Edge detection accuracy (not specified)","Improved edge contour using ACO technique","No","No","","Improved skin lesion edge detection method using Ant Colony Optimization"
"Machine Learning Techniques","Yes","Adaptation","No","Classification","Not specified (various machine learning approaches)","Melanoma","Not informed","41","Not informed","No","Not specified (various machine learning approaches)","No","Not informed","Yes","Not specified (classification phase is delicate and various metrics may be used)","Effective frameworks for melanoma classification can be implemented using machine learning techniques","No","No","","Machine Learning Techniques for Automated Melanoma Detection"
"Attention-guided Deep Convolutional Neural Networks","Yes","Adaptation","No","Classification","Deep convolutional neural networks (D-CNN)","Various types of skin cancer","Not informed","16","No","No","Approximately 12% improvement in accuracy compared to normal D-CNN architecture","Yes (Fine tuning)","Not informed","Yes","Accuracy","Approximately 12% improvement in accuracy compared to normal D-CNN architecture","No","No","","Attention-guided deep convolutional neural networks for skin cancer classification"
"Ultrasound frequency analysis","Yes","Adaptation","No","Diagnosis","Biological resonance theory and discrete cosine transform for tissue frequency analyzes","Various types of skin cancer","400 patients from CRED dataset","12","Not informed","No","AUC (0.959), sensitivity and specificity (93.8% and 97.3%)","No","Not informed","Yes","Accuracy, AUC, sensitivity, specificity","Highest accuracy with an AUC of 0.959 and a high sensitivity (93.8%) and specificity (97.3%)","No","Yes","","Early diagnosis of skin cancer by ultrasound frequency analysis"
"Improved Particle Swarm Optimization and Deep Learning Models","Yes","New","Yes (Clinically important asymmetry, border irregularity, colour and dermoscopic structure features with texture features)","Classification","Grey Level Run Length Matrix, Local Binary Patterns, Histogram of Oriented Gradients operators for lesion representation","Skin cancer (melanoma and other types)","Dermoscopic skin lesion data, UCI machine learning repository, ALL-IDB2 image data","127","Not informed","No","Empirical evaluations and statistical tests (not specified)","Yes","Not informed","Yes","Discriminative feature selection, optimal hyper-parameter identification for deep learning networks in lesion classification","Superiority over other advanced PSO variants and classical search methods (not specified)","No","Yes","","Intelligent skin cancer diagnosis using improved particle swarm optimization and deep learning models"
"YoloV1, YoloV2 and YoloV3","Yes","Adaptation","No","Detection","Deep convolutional neural networks (DCNNs)","Melanoma","200 images","72","Not informed","No","Mean Average Precision (mAP) of 0.82 with a training set of only 200 images","No","Not informed","Yes","Mean Average Precision (mAP)","Exceeded mAP of 0.82 with a training set of only 200 images","No","No","","Automatic detection of melanoma with yolo deep convolutional neural networks"
"Ensemble of Canonical and Deep Classifiers","Yes","Adaptation","Yes (Canonical and deep classifiers)","Classification","Convolutional Neural Networks (CNNs) with handcrafted descriptors","Actinic Keratosis","Clinical image dataset","7","Not informed","Yes (Warping and other augmentation techniques)","State of the art comparison","No","Yes (Warping, etc.)","Yes","Not specified","Comparable to state-of-the-art performance","Yes","No","","Deep learning for actinic keratosis classification"
"Multiple Instance Learning (MIL) algorithm","Yes","New","No","Classification","Dermoscopy imaging features","Melanoma and dysplastic nevi","Not informed","28","Not informed","No","Promising results (not specified)","No","Not informed","Yes","Classification accuracy (not specified)","MIL technique could be useful for skin lesion detection and classification of dysplastic nevi from common nevi","No","No","","Dangerousness of dysplastic nevi: A Multiple Instance Learning Solution for Early Diagnosis"
"Transfer Learning based Method","Yes","Adaptation","No","Classification","Deep learning using PyTorch machine learning library and transfer learning","Various types of skin cancer","HAM10000 dataset (10,000 images)","32","Not informed","No","Accuracy for testing data in two steps: Step 1 - 85%, Step 2 - 75%","Yes","Not informed","Yes","Accuracy (85% and 75%)","Highest accuracy of 85% in Step 1 and 75% in Step 2","No","No","","Transfer learning based method for two-step skin cancer images classification"
"","Yes","","","","","","","25","","","","","","","","","","","","Can skin cancer diagnosis be transformed by AI?"
"Weakly Supervised Vitiligo Segmentation through Saliency Propagation","Yes","New","No","Segmentation","Convolutional neural network (CNN)","Vitiligo","Proposed Vit2019 dataset and other datasets for comparison","17","Not informed","No","State-of-the-art methods comparison (not specified)","Yes, pre-training a classification network using only image-level labels","Not informed","Yes","Segmentation accuracy and other metrics not specified","Superiority over state-of-the-art methods (not specified)","Yes","No","","Weakly Supervised Vitiligo Segmentation in Skin Image through Saliency Propagation"
"Convolutional Neural Network (CNN)","Yes","New","No","Classification","Image pre-processing and segmentation for extraction of skin lesion area, followed by CNN classifier","Pigmented skin lesions (not specified)","Not informed","5","Not informed","Yes (natural hair removal and image segmentation)","Keras and TensorFlow with CUDA support for training process","No","Not informed","Yes","Classification accuracy (76.83%)","Highest classification accuracy of 76.83%","No","No","","Pigmented skin lesions classification using convolutional neural networks"
"Very Deep Residual Networks","Yes","New","No","Classification","FCRN and CNN with residual networks","Melanoma","Not informed (dataset not specified)","21","Not informed","No","Histogram and PSNR ratio","No","Not informed","Yes","Accuracy, Histogram, PSNR ratio (not specified)","Improved performance in histogram and PSNR ratio (not specified)","No","No","","Automated Melanoma Recognition in Dermoscopy Images via Very Deep Residual Networks"
"Multi-Model Fusion of Convolutional Neural Network","Yes","Adaptation","Yes (ResNet, Xception, DensNet)","Classification","Convolutional neural network (CNN) with transfer learning","Basal cell carcinoma and seborrheic keratosis","Established basal cell carcinoma and seborrheic keratosis datasets","4","Not informed","No","Mean square error, Maximum correntropy criterion (MCC)","Yes","Not informed","Yes","Accuracy (97.07%)","Highest accuracy of 97.07%","No","No","","Skin Disease Recognition Method Based on Multi-Model Fusion of Convolutional Neural Network; [多卷积神经网络模型融合的皮肤病识别方法]"
"Learning Vector Quantization","Yes","Adaptation","No","Classification","Grey-Level Co-Occurrence Matrix (GLCM)","Melanoma","Not informed","1","No","Yes (grey-scaling and median filtering)","Accuracy of 83.33%","No","Not informed","Yes","Accuracy, Precision, Recall, F1-score (not specified)","Highest accuracy of 83.33%","No","No","","Identification of Melanoma through Dermoscopy Image using Learning Vector Quantization"
"ResNet-101","No","Adaptation","Yes (Time-independent prediction)","Prediction","Deep Convolutional Neural Networks (CNNs)","Burn depth injuries","Color images of four types of burn depth injured in first few days, including normal skin and background","42","Not informed","No","10-fold cross-validation (81.66% average accuracy)","Yes (Pretrained deep CNNs: VGG-16, GoogleNet, ResNet-50, and ResNet-101)","Not informed","No","Accuracy, Sensitivity, Specificity (90.54%, 74.35%, 94.25%)","81.66% average accuracy and 88.06% maximum accuracy in predicting burn depth injuries","No","Yes","","Time-Independent Prediction of Burn Depth Using Deep Convolutional Neural Networks"
"Gabor wavelet-based deep convolutional neural network","Yes","New","Yes (Decision fusion based on the sum rule)","Classification","Seven directional sub-bands using Gabor wavelets and deep convolutional neural networks","Malignant melanoma and seborrheic keratosis","Not informed","104","Not informed","No","Comparison with alternative methods in the literature developed for skin cancer detection (not specified)","No","Not informed","Yes","Accuracy, sensitivity and specificity (not specified)","Outperforms alternative methods in the literature developed for skin cancer detection (not specified)","No","No","","Gabor wavelet-based deep learning for skin lesion classification"
"Multidimensional Convolutional Neural Network","No","New","Yes (Active contour segmentation, Multidimensional convolutional neural network)","Classification","Multidimensional convolutional neural network","Varicose ulcers","32 varicose ulcer wound images","Not informed","No","Yes (Flash light removal)","Average accuracy, specificity and sensitivity (99.55%, 98.06%, 95.66%)","No","Not informed","Yes","Accuracy, Specificity, Sensitivity","Highest average accuracy of 99.55%","No","No","","Varicose ulcer(C6) wound image tissue classification using multidimensional convolutional neural networks"
"Integrated Classification and Image Retrieval System","Yes","Adaptation","Yes (Fusion and ensemble techniques in deep feature spaces)","Classification and retrieval","Deep features extracted using transfer learning from pre-trained Convolutional Neural Networks (CNNs) and Logistic Regression/SVM models as ensembles of classifiers","Various types of skin cancer, including melanoma","1300 dermoscopic images dataset with 10 different classes","10","Not informed","No","Test data set (85% classification and retrieval accuracy)","Yes","Not informed","Yes","Classification and retrieval accuracies","Highest classification and retrieval accuracies of 85%","No","No","","Deep Learning Based Integrated Classification and Image Retrieval System for Early Skin Cancer Detection"
"Deep Depthwise Separable Residual Convolutional Network","Yes","New","No","Classification","Depthwise separable residual convolutional network with multi-channel image matrices and multiple color spaces","Melanoma","ISIC, PH2, DermIS, MED-NODE datasets (47 images)","47","Not informed","Yes (Noise removal using non-local means filter and enhancement using contrast-limited adaptive histogram equilisation over discrete wavelet transform algorithm)","Gradient weighted class activation maps, saliency maps, ACC on multiple datasets (99.50%, 96.77%, 94.44%, 95.23%)","No","Not informed","Yes","Accuracy, Gradient weighted class activation maps, Saliency maps","Highest accuracy of 99.50% on ISIC dataset and other high accuracies (96.77%, 94.44%, 95.23%) on PH2, DermIS, MED-NODE datasets respectively.","No","Yes","","Diagnosis of melanoma from dermoscopic images using a deep depthwise separable residual convolutional network"
"Hybrid Cross Entropy Thresholding using Gaussian and Gamma Distributions (HCET-G2)","Yes","New","Yes (Gaussian and Gamma distributions)","Segmentation","Hybrid cross entropy thresholding techniques using Gaussian and Gamma distributions","Melanoma","PH2 and ISIC 2017 datasets","7","Not informed","No","Accuracy (75%) compared to other benchmark segmentation techniques","No","Not informed","Yes","Accuracy, Minimum Cross Entropy","Achieved 75% accuracy in skin cancer detection using HCET-G2 method","No","No","","HCET-G2: Dermoscopic Skin Lesion Segmentation via Hybrid Cross Entropy Thresholding using Gaussian and Gamma Distributions"
"Convolutional Neural Network (CNN)","Yes","Adaptation","No","Classification","Pre-trained CNN models: MobileNet v1 and Inception V3","Various types of skin cancer (7 classes)","MNIST HAM10000 dataset (10,015 images)","16","Not informed","No","Web-classifier with CNN Inception V3 model: accuracy = 72%, MobileNet v1 model: accuracy = 58%","Yes (pre-trained models)","Not informed","Yes","Accuracy, Precision, Recall, F1-score","Highest accuracy of 72% using CNN Inception V3 model","No","No","","Disease Classification based on Dermoscopic Skin Images Using Convolutional Neural Network in Teledermatology System"
"Deep learning based U-Net algorithm and VGG16 Net","Yes","New","No","Segmentation and Classification","Convolutional Neural Network (CNN) with VGG16 Net algorithm","Melanoma","ISBI 2016 Skin Lesion Analysis towards Melanoma Detection Challenge dataset","10","Not informed","No","Accuracy, Sensitivity and Specificity (83.18%, 95.53%, 96.22%)","Yes","Not informed","Yes","Accuracy, Sensitivity and Specificity","Highest accuracy of 83.18% with sensitivity of 95.53% and specificity of 96.22%","No","No","","Melanoma segmentation and classification using deep learning"
"Artificial Neural Network (ANN)","Yes","New","No","Classification","Image processing techniques and ANN models","Melanoma skin cancer","Not informed","0","Not informed","Yes (Dermoscopy images)","Multilayer Perceptron, Patern Recognition Neetwork, Support Vector Machines and K nearest neighborhood classifiers","No","Not informed","Yes (99.8%, 98.3%, 96.7% and 95%)","Accuracy of ANN models","Highest accuracy of 99.8%","No","No","","Artificial neural network based diagnostic system for melanoma skin cancer; [Melanom cilt kanseri için yapay sinir aǧi tabanli tani sistemi]"
"Automated Segmentation using Smartphone Cameras","Yes","Adaptation","No","Segmentation","Active contours, Saturation thresholding","Melanoma and other pigmented skin lesions","Not informed","2","Not informed","No","Not specified","No","Not informed","Yes (State of the art segmentation methods)","Not specified","Good results for macroscopic skin lesion images captured with standard cameras, but not specifically mentioned for smartphone applications.","No","No","","Automated segmentation of pigmented skin lesions images for smartphone applications"
"CNN with GAN-generated synthetic images","Yes","Adaptation","Yes (GAN for data augmentation)","Classification","Convolutional Neural Network (CNN) with Generative Adversarial Network (GAN)-generated synthetic images","Skin cancer","ISIC dataset (97 members, 50 benign and 47 malignant)","61","No","Yes (GAN-generated synthetic images added to primary database)","53% classification performance without GAN-generated images, increased to 71% with GAN-generated images","No","Yes (using GAN for data augmentation)","Yes","Classification accuracy","Increased classification performance from 53% to 71%","No","No","","Generating Synthetic Medical Images by Using GAN to Improve CNN Performance in Skin Cancer Classification"
"Bimodal Skin Cancer Image Segmentation using Gamma Distribution","Yes","Adaptation","No","Segmentation","Gamma distribution with different parameter shapes for each mode in the histogram","Skin cancer","Not informed","2","Not informed","No","Performance measures (not specified)","No","Not informed","Yes","Performance measures (not specified)","Better results than existing techniques using performance measures","No","No","","Bimodal Skin Cancer Image Segmentation Based on Different Parameter Shapes of Gamma Distribution"
"Convolutional Neural Networks (CNN)","Yes","Adaptation","No","Classification","VGG architecture with CNN layers","Seven different types of skin lesions (not specified)","MNIST:HAM10000 dataset (10,000 labelled images)","36","Not informed","No","Real-time prediction and classification on a website","No","Not informed","Yes","Accuracy (not specified)","High accuracy for image classification problems (not specified)","No","No","","Convolutional Neural Networks for classifying skin lesions"
"Label-Free Non-linear Multimodal Optical Microscopy","No","Not applicable","Yes (TPF, FLIM, SHG and CARS techniques)","Imaging and analysis of tissue samples","Non-linear optical signals from collagen, amylopectin, sarcomere structure, elastin, NADH and lipid droplets","Not specified","Various samples (tissue, cells)","43","No","No","Not informed","No","Not informed","Yes (with other microscopy techniques)","High image contrast and quantitative estimate of sample orientation, molecular specificity with high resolution","Multimodal NLO microscopy is a powerful tool to assess the molecular specificity with high resolution.","No","Yes (various samples)","","Label-Free Non-linear Multimodal Optical Microscopy—Basics, Development, and Applications"
"Not specified","Yes","Adaptation","No","Classification","Digital image processing methods (segmentation, edge detection and color and structure processing)","Melanoma","Not informed","19","Not informed","Yes","Not specified","No","Not informed","Yes (review of recent works)","Not specified","Not specified","No","No","","Features for melanoma lesions: Extraction and classification"
"Ensemble of Convolutional Neural Networks","Yes","Adaptation","No","Classification","Convolutional Neural Network (CNN)","Various types of skin cancer","Not informed","10","No","Yes (Hair removal, image resizing, and image augmentation)","Accuracy (91.7%) with combination of learning rate parameters le-3 and use of dropouts in model architecture","No","Yes","Yes","Accuracy, precision, recall, F1-score (not specified)","Highest accuracy of 91.7%","No","No","","Ensembles of Convolutional Neural Networks for Skin Lesion Dermoscopy Images Classification"
"Not applicable (Survey of existing methods)","Yes","Not informed","No","Classification and Segmentation","Not specified","Melanoma (malignant melanoma)","Not informed","2","Not informed","No","Survey of existing methods, not a specific validation type","No","Not informed","Yes (Comparison of Menzies, 7-point checklist, CASH, ABCD, CHAOS, BLINCK, and TADA methods)","Accuracy, sensitivity, specificity (not specified)","Not applicable","No","No","","Diagnosis methods of skin lesions in dermoscopic images: A survey"
"Modified U-Net architecture (46-layered structure)","Yes","Adaptation","No","Segmentation","U-Net Convolutional Neural Network with image processing techniques in the first stage (Image Enhancement, Linear Filtering, and Image Restoration)","Melanoma and other skin cancers","Not informed","22","Not informed","Yes (image processing techniques in the first stage)","Dice-coefficient, Jaccard indexes (not specified)","No","Not informed","Yes","Dice coefficient and Jaccard indexes","Successful lesion segmentation rate with the proposed U-Net architecture (46-layered structure)","No","No","","Skin lesion segmentation by using deep learning techniques"
"Deep Learning Convolutional Neural Network (CNN)","Yes","Adaptation","No","Recognition of Melanoma","More than 120,000 dermoscopic images of skin neoplasms and corresponding diagnoses","Melanoma","Not informed","262","No","Yes (Gentian violet surgical skin markings)","Sensitivity, Specificity and Area under the Curve of Receiver Operating Characteristic curve for CNN's diagnostic classification in unmarked, marked and cropped images.","Not informed","No","Yes (CNN with and without gentian violet skin markings)","Sensitivity, Specificity and Area under the Curve of Receiver Operating Characteristic curve for CNN's diagnostic classification in unmarked, marked and cropped images.","Highest sensitivity of 100% and specificity of 97.2%","No","Yes (with gentian violet skin markings)","","Association between Surgical Skin Markings in Dermoscopic Images and Diagnostic Performance of a Deep Learning Convolutional Neural Network for Melanoma Recognition"
